zoneid,year,ward_code,total_pop,chinese_ethnic_count,chinese_ethnic_pct,asia_born_count,asia_born_pct,asia_born_pct_is_proxy,pop_16_74,econ_active_rate,unemployment_rate,self_employment_rate,total_hh_spaces,owner_occ_rate,council_rent_rate,private_rent_rate,overcrowd_rate,overcrowd_severe_rate,no_bath_wc_rate,no_car_rate
00BNFX0002,2001,00BNFX,261,8,3.07,23,8.81,True,188,61.17,3.19,6.38,126,61.11,11.9,18.25,3.12,0.0,22.13,45.83
00BNFX0003,2001,00BNFX,351,4,1.14,44,12.54,True,281,54.09,4.27,11.39,124,53.23,0.0,21.77,2.44,0.0,2.65,35.94
00BNFX0004,2001,00BNFX,382,0,0.0,40,10.47,True,275,62.55,5.82,8.36,140,63.57,2.14,31.43,2.16,0.0,9.56,44.97
00BNFX0005,2001,00BNFX,240,0,0.0,25,10.42,True,160,58.75,3.75,13.12,116,43.97,2.59,18.97,2.65,0.0,8.33,51.85
00BNFX0006,2001,00BNFX,429,7,1.63,108,25.17,True,276,55.43,4.71,2.9,132,58.33,0.0,32.58,5.07,2.17,27.86,37.96
00BNFX0007,2001,00BNFX,327,0,0.0,34,10.4,True,247,63.97,6.07,4.05,126,74.6,2.38,23.02,6.98,2.33,17.29,29.77
00BNFX0008,2001,00BNFX,370,3,0.81,36,9.73,True,305,60.98,5.25,5.57,129,68.99,0.0,28.68,2.31,0.0,9.6,32.31
00BNFX0009,2001,00BNFX,252,6,2.38,9,3.57,True,172,54.07,6.98,3.49,128,25.0,4.69,14.84,2.4,0.0,5.74,69.42
00BNFX0010,2001,00BNFX,322,0,0.0,16,4.97,True,227,56.39,7.05,2.64,138,49.28,7.25,33.33,0.0,0.0,21.88,56.12
00BNFX0011,2001,00BNFX,283,3,1.06,49,17.31,True,221,52.94,6.33,7.24,133,36.09,14.29,38.35,4.41,0.0,24.14,56.3
00BNFX0012,2001,00BNFX,283,7,2.47,36,12.72,True,204,54.41,1.47,7.84,118,74.58,5.08,17.8,2.63,0.0,10.08,35.9
00BNFX0013,2001,00BNFX,241,6,2.49,6,2.49,True,184,61.41,6.52,7.07,119,46.22,5.88,11.76,0.0,0.0,7.03,45.16
00BNFX0014,2001,00BNFX,359,0,0.0,36,10.03,True,274,64.96,3.65,7.3,121,86.78,4.96,8.26,2.48,0.0,4.92,22.66
00BNFX0015,2001,00BNFX,243,3,1.23,6,2.47,True,175,70.29,8.0,4.57,126,51.59,7.94,26.98,0.0,0.0,17.52,53.85
00BNFX0016,2001,00BNFX,260,3,1.15,24,9.23,True,195,63.59,6.15,5.64,112,64.29,22.32,10.71,0.0,0.0,14.88,33.33
00BNFX0017,2001,00BNFX,360,0,0.0,30,8.33,True,283,69.96,3.18,8.13,132,87.12,2.27,10.61,3.12,0.0,9.84,21.09
00BNFX0018,2001,00BNFX,350,0,0.0,24,6.86,True,198,70.71,5.05,7.07,121,68.6,2.48,19.83,2.44,2.44,7.76,34.45
00BNFX0019,2001,00BNFX,298,3,1.01,21,7.05,True,201,58.21,3.98,12.94,134,54.48,5.97,24.63,4.51,2.26,21.26,43.08
00BNFX0020,2001,00BNFX,269,0,0.0,8,2.97,True,195,73.85,3.08,1.54,121,71.9,0.0,17.36,2.31,0.0,18.7,39.2
00BNFX0021,2001,00BNFX,251,0,0.0,12,4.78,True,191,57.07,8.9,5.76,127,45.67,17.32,26.77,2.16,0.0,18.32,55.3
