zoneid,81sas040320,81sas040321,81sas040322,81sas040323,81sas040324,81sas040325,81sas040326,81sas040327,81sas040328,81sas040329,81sas040330,81sas040331,81sas040332,81sas040333,81sas040334,81sas040335,81sas040336,81sas040337,81sas040338,81sas040339,81sas040340,81sas040341,81sas040342,81sas040343,81sas040344,81sas040345,81sas040346,81sas040347,81sas040348,81sas040349,81sas040350,81sas040351,81sas040352,81sas040353,81sas040354,81sas040355,81sas040356,81sas040357,81sas040358,81sas040359,81sas040360,81sas040361,81sas040362,81sas040363,81sas040364,81sas040365,81sas040366,81sas040367,81sas040368,81sas040369,81sas040370,81sas040371,81sas040372,81sas040373,81sas040374,81sas040375,81sas040376,81sas040377,81sas040378,81sas040379
0C        ,45771956,22288395,23483561,41084500,19969127,21115373,731472,370516,360956,573045,274818,298227,232001,113803,118198,566965,266204,300761,133218,61473,71745,1273863,656640,617223,190689,100054,90635,88035,47297,40738,291632,142586,149046,378712,192335,186377,46868,31327,15541,122488,62925,59563,124194,63726,60468,31245,16390,14855,179723,102149,77574,340075,138919,201156,235133,114310,120823,421961,220436,201525
0D        ,2749640,1336323,1413317,468000,222860,245140,20716,10537,10179,2184981,1063502,1121479,7999,3740,4259,13419,6663,6756,4237,1960,2277,18089,10004,8085,2100,1146,954,1618,1008,610,2000,1123,877,4065,2113,1952,1003,674,329,4490,2507,1983,2299,1173,1126,514,260,254,2016,1162,854,13030,5894,7136,6003,3668,2335,11150,6333,4817
0E        ,5035315,2428472,2606843,297784,144731,153053,4548708,2189833,2358875,12733,6353,6380,35147,16651,18496,27044,12151,14893,15292,7066,8226,33223,17470,15753,4408,2323,2085,3603,2068,1535,1547,715,832,9097,4714,4383,646,422,224,9816,5220,4596,3127,1544,1583,979,464,515,6459,3443,3016,20810,9268,11542,9816,6276,3540,28299,15230,13069
