zoneid,81sas040320,81sas040321,81sas040322,81sas040323,81sas040324,81sas040325,81sas040326,81sas040327,81sas040328,81sas040329,81sas040330,81sas040331,81sas040332,81sas040333,81sas040334,81sas040335,81sas040336,81sas040337,81sas040338,81sas040339,81sas040340,81sas040341,81sas040342,81sas040343,81sas040344,81sas040345,81sas040346,81sas040347,81sas040348,81sas040349,81sas040350,81sas040351,81sas040352,81sas040353,81sas040354,81sas040355,81sas040356,81sas040357,81sas040358,81sas040359,81sas040360,81sas040361,81sas040362,81sas040363,81sas040364,81sas040365,81sas040366,81sas040367,81sas040368,81sas040369,81sas040370,81sas040371,81sas040372,81sas040373,81sas040374,81sas040375,81sas040376,81sas040377,81sas040378,81sas040379
38        ,976748,480351,496397,908968,445246,463722,14994,7686,7308,7485,3779,3706,3887,1913,1974,7233,3778,3455,1565,742,823,14767,7663,7104,1372,741,631,627,393,234,5938,3019,2919,3795,1934,1861,209,137,72,1615,847,768,1037,500,537,174,92,82,2992,1703,1289,5564,2207,3357,4761,2843,1918,4532,2791,1741
39        ,507230,251093,256137,445150,219433,225717,9705,4980,4725,9261,4695,4566,2857,1384,1473,5484,2728,2756,2673,1266,1407,9282,4666,4616,1101,571,530,654,353,301,1680,813,867,2229,1088,1141,239,158,81,1897,966,931,1118,537,581,364,180,184,1106,622,484,5485,2292,3193,3109,1562,1547,13118,7465,5653
40        ,370355,182462,187893,331264,163378,167886,5064,2650,2414,20859,9845,11014,1964,951,1013,1880,927,953,719,338,381,3679,1874,1805,442,232,210,178,82,96,501,260,241,1095,553,542,70,55,15,768,388,380,540,265,275,85,39,46,440,263,177,2285,1033,1252,956,553,403,1245,650,595
41        ,417457,202807,214650,387776,189035,198741,5202,2607,2595,9862,4533,5329,1734,811,923,2030,850,1180,1312,567,745,3746,1816,1930,484,238,246,336,172,164,220,96,124,1097,530,567,36,25,11,764,386,378,613,283,330,196,86,110,138,79,59,2677,1116,1561,956,443,513,2024,950,1074
42        ,1005641,497343,508298,957625,471973,485652,10015,5269,4746,9097,4685,4412,3028,1512,1516,4392,2163,2229,1261,620,641,7027,3771,3256,890,464,426,375,220,155,1518,850,668,1964,1029,935,226,163,63,1134,591,543,759,365,394,161,89,72,2800,1649,1151,4179,1822,2357,3172,2117,1055,3045,1762,1283
43        ,590133,290344,299789,536839,262160,274679,7883,4033,3850,4482,2152,2330,2021,939,1082,2975,1339,1636,1560,671,889,6465,3254,3211,646,319,327,384,186,198,1560,838,722,1407,653,754,337,228,109,1043,490,553,872,419,453,216,121,95,199,102,97,4073,1716,2357,1727,848,879,21909,13130,8779
44        ,992489,481224,511265,873988,426848,447140,19651,9541,10110,16777,7913,8864,5366,2380,2986,12032,4666,7366,6605,3039,3566,19174,9654,9520,2717,1404,1313,2173,1152,1021,1925,839,1086,5333,2640,2693,483,373,110,3645,1779,1866,1764,905,859,1134,562,572,2085,1191,894,13728,5489,8239,8052,3480,4572,15031,7023,8008
45        ,469801,231925,237876,426662,210079,216583,9005,4634,4371,8230,4206,4024,2398,1225,1173,5600,2663,2937,1009,467,542,9384,4833,4551,1608,859,749,297,139,158,1130,589,541,4959,2553,2406,56,46,10,747,357,390,463,225,238,124,65,59,357,193,164,2740,1200,1540,1929,1071,858,2487,1354,1133
46        ,650124,305478,344646,593120,279488,313632,10494,5049,5445,8177,3753,4424,3007,1271,1736,5148,2005,3143,3269,1560,1709,10363,5021,5342,1993,1045,948,909,484,425,787,333,454,3351,1526,1825,161,128,33,1704,791,913,975,495,480,483,219,264,959,524,435,5783,2248,3535,3218,1421,1797,6586,3138,3448
47        ,512635,252696,259939,457965,225803,232162,9737,5183,4554,12206,5965,6241,3889,1919,1970,4962,2425,2537,1545,716,829,8599,4279,4320,887,456,431,423,210,213,1128,572,556,2645,1305,1340,127,96,31,1691,802,889,1486,728,758,212,110,102,419,225,194,7062,3106,3956,2718,1345,1373,3533,1730,1803
48        ,385581,186071,199510,132267,61447,70820,3690,1781,1909,239408,117914,121494,1509,668,841,2101,930,1171,673,302,371,2019,1054,965,210,111,99,180,103,77,126,64,62,485,245,240,52,38,14,576,320,256,313,136,177,77,37,40,73,44,29,1898,858,1040,840,506,334,1103,567,536
49        ,323040,156837,166203,53833,26357,27476,2647,1417,1230,257883,124678,133205,984,476,508,1634,856,778,528,227,301,1523,786,737,182,99,83,186,108,78,109,59,50,354,169,185,20,16,4,387,200,187,239,107,132,46,28,18,73,38,35,1915,930,985,611,344,267,1409,728,681
50        ,436500,214186,222314,62747,29992,32755,2921,1432,1489,359721,177040,182681,1220,550,670,2030,1065,965,577,254,323,2595,1440,1155,233,133,100,156,98,58,426,223,203,659,354,305,182,117,65,616,349,267,265,137,128,58,29,29,597,311,286,1821,805,1016,853,535,318,1418,762,656
51        ,222291,106389,115902,56865,26241,30624,1843,946,897,157561,76308,81253,736,343,393,1444,631,813,494,234,260,1106,586,520,127,67,60,93,53,40,62,32,30,221,114,107,33,24,9,365,196,169,162,78,84,43,22,21,57,39,18,841,372,469,504,280,224,840,409,431
52        ,533770,260361,273409,43232,21093,22139,2661,1364,1297,478527,232905,245622,1044,495,549,1572,861,711,521,250,271,2208,1191,1017,232,134,98,184,106,78,98,62,36,604,320,284,70,51,19,664,349,315,284,137,147,72,32,40,84,52,32,1740,734,1006,1088,825,263,1093,591,502
53        ,108121,53798,54323,31352,15152,16200,846,422,424,73469,36971,36498,333,154,179,362,176,186,244,107,137,443,249,194,57,36,21,40,21,19,42,26,16,102,60,42,14,13,1,126,66,60,46,22,24,16,5,11,25,16,9,519,237,282,133,74,59,395,240,155
54        ,376718,182120,194598,53940,26155,27785,3678,1945,1733,299681,143461,156220,1356,683,673,2646,1311,1335,746,373,373,6272,3591,2681,851,444,407,602,410,192,978,575,403,1258,635,623,448,284,164,1205,706,499,796,467,329,134,70,64,1006,593,413,2785,1247,1538,1331,704,627,3277,2057,1220
55        ,363619,176561,187058,33764,16423,17341,2430,1230,1200,318731,154225,164506,817,371,446,1630,833,797,454,213,241,1923,1107,816,208,122,86,177,109,68,159,82,77,382,216,166,184,131,53,551,321,230,194,89,105,68,37,31,101,69,32,1511,711,800,643,400,243,1615,979,636
56        ,97218,46535,50683,13002,5807,7195,80987,39160,41827,277,120,157,593,278,315,374,169,205,327,148,179,429,189,240,77,28,49,40,19,21,20,10,10,138,67,71,3,3,0,108,46,62,25,9,16,18,7,11,21,12,9,445,190,255,347,234,113,416,228,188
57        ,268115,130507,137608,16327,7973,8354,243212,118079,125133,740,355,385,1524,746,778,1050,502,548,751,342,409,1384,747,637,240,128,112,145,81,64,59,21,38,356,209,147,18,11,7,391,200,191,136,76,60,39,21,18,185,108,77,1124,516,608,788,601,187,1030,538,492
58        ,141890,68999,72891,15890,7533,8357,121434,59176,62258,444,208,236,1289,653,636,540,250,290,338,140,198,582,293,289,102,58,44,36,19,17,42,14,28,151,75,76,2,1,1,154,87,67,62,27,35,33,12,21,36,20,16,606,301,305,310,209,101,421,216,205
59        ,325066,158013,167053,26392,13537,12855,287152,138617,148535,1152,570,582,2140,1097,1043,1196,519,677,999,453,546,2210,1153,1057,282,161,121,169,97,72,79,34,45,404,204,200,23,14,9,729,364,365,465,248,217,59,31,28,149,82,67,1474,667,807,940,686,254,1262,632,630
60        ,462891,225930,236961,34703,18034,16669,409405,198208,211197,1679,901,778,2195,1058,1137,840,405,435,2227,1108,1119,4108,2207,1901,505,277,228,611,379,232,268,127,141,603,303,300,94,65,29,1402,754,648,487,239,248,138,63,75,95,50,45,2557,1229,1328,878,503,375,4204,2227,1977
61        ,187004,91929,95075,17079,8332,8747,163389,80414,82975,723,380,343,959,484,475,507,232,275,786,355,431,1125,541,584,178,85,93,114,59,55,44,24,20,220,109,111,7,4,3,364,168,196,133,67,66,65,25,40,55,27,28,909,407,502,377,220,157,1095,537,558
62        ,723108,345465,377643,52796,24868,27928,637357,304572,332785,2292,1147,1145,4915,2216,2699,3790,1545,2245,2650,1226,1424,6547,3301,3246,1137,577,560,750,401,349,378,182,196,1531,740,791,119,81,38,1859,952,907,572,264,308,201,104,97,949,506,443,4293,1874,2419,2124,1308,816,5395,2902,2493
63        ,2375410,1142663,1232747,92455,44431,48024,2196697,1055612,1141085,4229,2086,2143,19212,9005,10207,17211,7832,9379,5706,2655,3051,13424,7212,6212,1393,742,651,1358,791,567,511,232,279,4713,2511,2202,265,162,103,3910,2156,1754,957,467,490,317,151,166,4533,2414,2119,7311,3182,4129,2963,1785,1178,11669,6449,5220
64        ,382707,182522,200185,23323,11080,12243,344744,164083,180661,953,457,496,2062,977,1085,1418,629,789,1237,527,710,3139,1679,1460,440,235,205,354,209,145,136,66,70,935,467,468,113,80,33,817,449,368,252,131,121,92,42,50,410,211,199,1824,791,1033,1013,687,326,2584,1401,1183
65        ,71906,35909,35997,5817,3136,2681,64331,31912,32419,244,129,115,258,137,121,118,68,50,271,112,159,275,148,127,54,32,22,26,13,13,10,5,5,46,29,17,2,1,1,82,44,38,38,16,22,17,8,9,26,13,13,267,111,156,76,43,33,223,100,123
