zoneid,81sas040320,81sas040321,81sas040322,81sas040323,81sas040324,81sas040325,81sas040326,81sas040327,81sas040328,81sas040329,81sas040330,81sas040331,81sas040332,81sas040333,81sas040334,81sas040335,81sas040336,81sas040337,81sas040338,81sas040339,81sas040340,81sas040341,81sas040342,81sas040343,81sas040344,81sas040345,81sas040346,81sas040347,81sas040348,81sas040349,81sas040350,81sas040351,81sas040352,81sas040353,81sas040354,81sas040355,81sas040356,81sas040357,81sas040358,81sas040359,81sas040360,81sas040361,81sas040362,81sas040363,81sas040364,81sas040365,81sas040366,81sas040367,81sas040368,81sas040369,81sas040370,81sas040371,81sas040372,81sas040373,81sas040374,81sas040375,81sas040376,81sas040377,81sas040378,81sas040379
01        ,2425630,1161129,1264501,1741290,828900,912390,47644,24343,23301,27617,12419,15198,18860,9703,9157,96728,45431,51297,19140,8160,10980,284874,144971,139903,24093,12642,11451,33906,17743,16163,107690,50438,57252,38461,19694,18767,17483,11422,6061,18627,9486,9141,39566,20680,18886,5048,2866,2182,12964,7231,5733,43248,17810,25438,49546,21387,28159,83719,40774,42945
02        ,4182968,2021433,2161535,3434689,1660910,1773779,62257,31211,31046,51392,24129,27263,21827,10433,11394,102732,46241,56491,17924,8300,9624,310369,158075,152294,67503,35552,31951,18570,9554,9016,59709,28273,31436,100679,50670,50009,4619,3029,1590,19114,9590,9524,29399,15587,13812,10776,5820,4956,22652,12258,10394,48074,18467,29607,41720,17745,23975,69332,33664,35668
03        ,2575407,1252010,1323397,2355234,1138408,1216826,34388,17523,16865,18795,8803,9992,16556,8170,8386,45343,22120,23223,4139,1987,2152,47022,26160,20862,6820,3640,3180,2706,1724,982,10121,5459,4662,15099,7974,7125,3928,2672,1256,5418,3126,2292,2443,1300,1143,487,265,222,16986,9535,7451,10604,4324,6280,10586,5430,5156,15754,9550,6204
04        ,1503120,723357,779763,1420218,683712,736506,15249,7448,7801,18047,7984,10063,8419,3810,4609,15004,6389,8615,2406,1133,1273,10366,6058,4308,771,430,341,1406,906,500,1320,867,453,2147,1155,992,301,209,92,3153,1821,1332,1027,539,488,241,131,110,434,244,190,4451,1868,2583,2390,1306,1084,6136,3405,2731
05        ,1292029,633081,658948,1232081,600946,631135,14844,7424,7420,6663,3363,3300,3031,1552,1479,5716,3155,2561,1328,646,682,10404,5636,4768,770,397,373,615,371,244,3533,1934,1599,2295,1232,1063,450,304,146,1711,908,803,861,411,450,169,79,90,5465,3225,2240,4364,1787,2577,3405,2405,1000,4728,2942,1786
06        ,1135492,550651,584841,1090677,527601,563076,17373,8625,8748,3033,1512,1521,2671,1298,1373,2737,1349,1388,1403,644,759,7384,4167,3217,630,364,266,608,381,227,290,169,121,2386,1264,1122,560,408,152,2174,1203,971,602,304,298,134,74,60,1350,741,609,3712,1640,2072,1456,818,638,3696,2256,1440
07        ,2628419,1294400,1334019,2287113,1115325,1171788,30227,15503,14724,35207,17593,17614,17875,9355,8520,60505,31163,29342,3308,1567,1741,130332,68331,62001,13532,7105,6427,2149,1272,877,37728,19369,18359,63090,32433,30657,5915,3895,2020,4337,2413,1924,2779,1421,1358,802,423,379,33793,19621,14172,9231,3639,5592,8345,4950,3395,12483,7353,5130
08        ,2021707,982676,1039031,1852763,893696,959067,28127,14177,13950,9037,4431,4606,8840,4367,4473,18079,8932,9147,2953,1464,1489,40111,21628,18483,4509,2368,2141,1577,989,588,8964,4788,4176,17472,9165,8307,2254,1498,756,3393,1844,1549,1516,759,757,426,217,209,31457,18178,13279,9175,3429,5746,10190,5764,4426,10975,6610,4365
09        ,900947,436770,464177,819695,397657,422038,10389,5315,5074,29287,13480,15807,3541,1772,1769,6721,3218,3503,2595,1168,1427,13505,6855,6650,1321,678,643,979,523,456,4663,2326,2337,2528,1262,1266,183,115,68,1983,1035,948,1560,776,784,288,140,148,1398,755,643,5436,2193,3243,3045,1663,1382,5335,2694,2641
10        ,502164,250948,251216,428342,212260,216082,11300,5988,5312,6975,3527,3448,3284,1773,1511,10856,5413,5443,1199,572,627,19943,10533,9410,2941,1613,1328,718,398,320,5323,2713,2610,6133,3079,3054,1913,1238,675,1531,800,731,919,443,476,465,249,216,4198,2471,1727,7153,3339,3814,3032,1704,1328,5882,3368,2514
11        ,670859,333731,337128,577653,287110,290543,13615,7063,6552,14134,6975,7159,4086,2045,2041,9325,4488,4837,2794,1295,1499,23114,11954,11160,3604,1897,1707,1137,634,503,4841,2478,2363,9125,4640,4485,231,172,59,2183,1080,1103,1346,742,604,647,311,336,5309,3085,2224,7559,3034,4525,5766,2794,2972,7504,3888,3616
12        ,562221,278436,283785,493508,244369,249139,12982,6508,6474,10258,5005,5253,3413,1638,1775,6612,2964,3648,2472,1115,1357,11993,6221,5772,1598,837,761,809,411,398,3475,1769,1706,2638,1346,1292,366,278,88,1562,782,780,1166,607,559,379,191,188,4146,2547,1599,6310,2716,3594,3982,2045,1937,6545,3308,3237
13        ,569893,282130,287763,512895,252774,260121,10276,5229,5047,5437,2839,2598,3069,1498,1571,4076,2075,2001,2066,993,1073,9532,4882,4650,1990,1015,975,576,286,290,1293,667,626,2290,1161,1129,154,109,45,1583,853,730,1341,640,701,305,151,154,2131,1251,880,7361,3288,4073,3017,1626,1391,10033,5675,4358
14        ,921623,451460,470163,857033,420090,436943,13205,6607,6598,20994,9979,11015,4993,2470,2523,7365,3403,3962,1816,852,964,5540,2899,2641,715,378,337,503,272,231,561,291,270,1513,811,702,192,144,48,1179,585,594,658,304,354,219,114,105,395,218,177,4228,1790,2438,2235,1174,1061,3819,1978,1841
15        ,565845,278637,287208,538169,263977,274192,9848,5131,4717,2498,1283,1215,1882,936,946,2058,1151,907,797,378,419,3857,2179,1678,472,244,228,309,208,101,194,121,73,1324,718,606,128,82,46,847,489,358,432,225,207,151,92,59,2071,1163,908,2008,829,1179,920,578,342,1737,1032,705
16        ,418631,201675,216956,393646,189738,203908,5273,2702,2571,6068,2881,3187,1560,739,821,1576,673,903,1403,652,751,3606,1754,1852,447,239,208,316,169,147,261,102,159,759,342,417,13,8,5,980,510,470,665,319,346,165,65,100,118,66,52,2007,877,1130,777,378,399,2597,1215,1382
17        ,471696,229685,242011,443476,215751,227725,14983,7313,7670,2493,1285,1208,2433,1260,1173,1502,732,770,948,443,505,1913,965,948,278,142,136,166,89,77,124,44,80,474,242,232,11,6,5,508,271,237,276,133,143,76,38,38,68,36,32,1562,678,884,833,481,352,1485,741,744
18        ,901831,443999,457832,852835,418423,434412,9994,5122,4872,5745,2897,2848,3040,1549,1491,5862,3031,2831,1211,572,639,11219,5866,5353,807,429,378,427,229,198,2516,1345,1171,5438,2823,2615,73,52,21,1128,569,559,641,313,328,189,106,83,2470,1438,1032,3620,1485,2135,3089,2030,1059,2746,1586,1160
19        ,930112,445117,484995,867626,415153,452473,12421,6438,5983,14889,7179,7710,3903,1977,1926,4349,1861,2488,2977,1324,1653,10396,5041,5355,1097,542,555,912,476,436,596,286,310,2182,987,1195,134,94,40,2607,1307,1300,2474,1173,1301,394,176,218,347,156,191,4945,1950,2995,2641,1289,1352,5618,2749,2869
20        ,578993,273965,305028,527532,250844,276688,9984,4852,5132,13255,5755,7500,3341,1507,1834,3781,1487,2294,2303,1001,1302,6291,3035,3256,732,364,368,488,262,226,471,212,259,1753,779,974,107,78,29,1426,707,719,1020,498,522,294,135,159,253,135,118,5158,2089,3069,2586,1123,1463,4509,2137,2372
21        ,598881,293077,305804,578780,282736,296044,7968,4118,3850,2017,1102,915,1388,666,722,1120,601,519,695,329,366,2728,1453,1275,284,147,137,198,121,77,171,96,75,728,383,345,76,50,26,814,424,390,370,188,182,87,44,43,98,57,41,2028,855,1173,614,350,264,1445,810,635
22        ,641016,294700,346316,582457,268561,313896,9951,4674,5277,7809,3361,4448,3013,1277,1736,6098,2318,3780,3058,1424,1634,10309,5116,5193,1304,664,640,996,545,451,770,322,448,2915,1259,1656,240,179,61,2262,1197,1065,1328,720,608,494,230,264,404,191,213,6241,2207,4034,3813,1608,2205,7863,3963,3900
23        ,1461890,713793,748097,1362175,666526,695649,20252,10169,10083,13618,6346,7272,5715,2690,3025,12316,5234,7082,3989,1925,2064,18410,9456,8954,2355,1265,1090,1714,966,748,2092,995,1097,4961,2475,2486,395,289,106,3875,1899,1976,2259,1168,1091,759,399,360,1049,596,453,10821,4284,6537,4840,2188,2652,8705,4379,4326
24        ,493166,240057,253109,442476,215373,227103,7082,3591,3491,18572,8656,9916,2557,1296,1261,4084,2060,2024,1467,649,818,7215,3754,3461,914,508,406,489,274,215,1575,810,765,1953,991,962,86,62,24,1137,565,572,891,472,419,170,72,98,192,86,106,3651,1489,2162,2028,1064,964,3842,2039,1803
25        ,1442598,711278,731320,1301412,641945,659467,32115,16635,15480,22961,11610,11351,9995,5019,4976,11586,5243,6343,5460,2547,2913,27462,13854,13608,2882,1534,1348,1858,973,885,2378,1165,1213,6859,3324,3535,685,479,206,5874,2989,2885,5590,2725,2865,1336,665,671,1268,685,583,13258,5493,7765,4700,2041,2659,12381,6206,6175
26        ,624393,306519,317874,571505,280752,290753,7221,3651,3570,22950,10951,11999,2423,1161,1262,4509,2079,2430,1391,643,748,5164,2657,2507,619,318,301,420,214,206,943,460,483,1269,650,619,328,250,78,919,454,465,539,258,281,127,53,74,879,507,372,3692,1576,2116,2154,1259,895,2505,1283,1222
27        ,950760,468590,482170,848748,419366,429382,18778,9408,9370,14473,6977,7496,4981,2446,2535,14673,6483,8190,3398,1584,1814,19266,9987,9279,2748,1441,1307,1460,819,641,3341,1654,1687,5471,2790,2681,839,611,228,2791,1325,1466,1773,904,869,843,443,400,2363,1402,961,10267,4244,6023,5609,2515,3094,8204,4178,4026
28        ,843282,412964,430318,805706,393346,412360,11995,6253,5742,4636,2454,2182,2544,1265,1279,2826,1564,1262,1213,600,613,5616,3084,2532,509,287,222,533,332,201,275,166,109,1347,699,648,456,292,164,1492,801,691,840,414,426,164,93,71,223,136,87,4319,1893,2426,1568,838,730,2636,1531,1105
29        ,114879,54333,60546,107323,50848,56475,1589,747,842,1616,786,830,522,274,248,726,298,428,412,178,234,1053,503,550,85,41,44,68,33,35,124,79,45,294,123,171,46,31,15,210,98,112,187,84,103,39,14,25,33,15,18,712,261,451,328,150,178,565,273,292
30        ,1448393,702101,746292,1335301,649109,686192,22178,11097,11081,16541,7846,8695,6282,2934,3348,11062,4699,6363,5017,2281,2736,25490,12835,12655,3279,1734,1545,1840,980,860,1762,820,942,10228,5143,5085,432,309,123,3752,1803,1949,3256,1577,1679,941,469,472,1086,549,537,11871,4550,7321,4454,1888,2566,9111,4313,4798
31        ,1362801,656227,706574,1256535,601940,654595,27511,14108,13403,10233,4994,5239,10193,5075,5118,11575,5375,6200,2695,1332,1363,18869,10038,8831,3509,1821,1688,735,418,317,1233,707,526,9522,4967,4555,894,598,296,1645,856,789,1086,532,554,245,139,106,10529,5889,4640,5788,2491,3297,3965,2314,1651,4908,2671,2237
32        ,835647,411439,424208,737614,361750,375864,12446,6436,6010,7889,3971,3918,3403,1657,1746,7191,3405,3786,1687,839,848,50247,25745,24502,21188,10900,10288,840,458,382,3074,1524,1550,21300,10817,10483,666,425,241,1541,841,700,1119,538,581,519,242,277,1117,602,515,5119,2224,2895,4114,2172,1942,4820,2638,2182
33        ,542944,268124,274820,510782,251521,259261,8850,4751,4099,4206,2224,1982,2253,1138,1115,3036,1584,1452,1057,520,537,4930,2471,2459,501,246,255,267,144,123,379,199,180,890,466,424,56,38,18,1376,673,703,1296,628,668,165,77,88,124,69,55,4146,1835,2311,1347,765,582,2213,1246,967
34        ,685232,334231,351001,646765,315226,331539,9302,4719,4583,5188,2606,2582,2317,1103,1214,2898,1369,1529,1719,847,872,5811,2914,2897,710,363,347,475,257,218,409,194,215,1248,621,627,69,48,21,1451,747,704,1253,603,650,196,81,115,179,88,91,4081,1601,2480,1422,683,739,5550,3075,2475
35        ,524967,258149,266818,462076,226496,235580,22871,11393,11478,6063,3024,3039,3760,1837,1923,7082,3493,3589,1250,599,651,10572,5501,5071,2134,1123,1011,429,236,193,2658,1342,1316,2705,1355,1350,523,360,163,1177,620,557,772,385,387,174,80,94,379,197,182,4161,1781,2380,2150,1171,979,4603,2657,1946
36        ,295451,144597,150854,278182,136073,142109,10509,5228,5281,1163,582,581,758,362,396,648,284,364,511,234,277,1258,661,597,180,86,94,113,63,50,61,31,30,258,143,115,37,30,7,370,178,192,215,117,98,24,13,11,61,38,23,1156,502,654,430,255,175,775,378,397
37        ,653456,317203,336253,610831,296472,314359,14725,7384,7341,4850,2483,2367,3122,1446,1676,2872,1295,1577,1499,690,809,5206,2570,2636,718,371,347,367,176,191,327,162,165,1103,541,562,81,54,27,1350,679,671,1102,517,585,158,70,88,239,137,102,4982,2172,2810,1438,676,762,3692,1878,1814
