zoneid,geography_name,TOTAL_RES_1981,TOTAL_RES_1991,POP_CHANGE_PCT,CHINESE_BORN_1981,CHINESE_ETHNIC_1991,PCT_CHINESE_1981,PCT_CHINESE_1991,CHINA_BORN_1991,PCT_CHINA_BORN_1991,TOTAL_HH_1981,PCT_OWNER_OCC_1981,PCT_NO_CAR_1981,PCT_OVERCROWD_1981,CHINESE_HOUSEHOLDS_1991,PCT_CHINESE_OWNER_OCC_1991,PCT_CHINESE_OVERCROWD_1991,ward_name_2001,oa_count,TOTAL_POP_2001,CHINESE_ETHNIC_2001,PCT_CHINESE_ETHNIC_2001,ASIA_BORN_2001,PCT_ASIA_BORN_2001,UNEMPLOYMENT_RATE_2001,ECON_ACTIVE_RATE_2001,SELF_EMP_RATE_2001,PCT_OWNER_OCC_2001,PCT_COUNCIL_RENT_2001,PCT_PRIVATE_RENT_2001,PCT_OVERCROWD_2001,PCT_NO_BATH_WC_2001,PCT_NO_CAR_2001,GEOGRAPHY_MATCH_TYPE,WARD_CODE_2001
00BNFT,,,,,,,,,,,,,,,,,,,41.0,11458.0,70.0,0.6109268633269331,509.0,4.4423110490486994,7.204622119005084,55.31823184050799,4.218718483930755,37.20326286856417,28.203801116112196,19.52406322323856,3.703917653355351,14.246941579307629,56.71372028883237,new_2001,00BNFT
00BNFU,,,,,,,,,,,,,,,,,,,34.0,8921.0,102.0,1.1433695774016366,186.0,2.0849680529088666,6.402921872557432,49.68370235224582,2.869515213329715,36.12846400004591,39.673378840922254,14.46433391443996,1.935492986830186,9.590128218639503,59.89490424870748,new_2001,00BNFU
00BNFW,,,,,,,,,,,,,,,,,,,33.0,10405.0,372.0,3.5752042287361845,726.0,6.977414704469005,5.764629065323204,48.072968568447905,2.6958144733248153,18.014901861057727,43.191250351252755,18.386835651980952,4.348165444495344,4.434426908204,59.15987712517262,new_2001,00BNFW
00BNFX,,,,,,,,,,,,,,,,,,,42.0,12662.0,115.0,0.908229347654399,1188.0,9.38240404359501,5.2148801571698336,62.15707104100209,6.307692448049759,60.91352303173291,5.163585043279914,24.74218422855597,2.525554904891037,15.497414075261066,40.62645144080625,new_2001,00BNFX
00BNFY,,,,,,,,,,,,,,,,,,,37.0,10484.0,93.0,0.8870660053414727,212.0,2.0221289584128197,4.589470996962776,58.40254014789705,4.293523231549186,59.53305019137952,15.643629579560711,16.396612511379622,1.3624423297978674,14.908456099328006,47.70653466706721,new_2001,00BNFY
00BNFZ,,,,,,,,,,,,,,,,,,,46.0,16005.0,253.0,1.5807560137457044,3120.0,19.49390815370197,6.3858958466448,46.639832694166664,4.043460457159186,33.20258367923549,22.020801635213115,29.89097180961515,8.097889703233282,12.799870815120856,54.21332281119888,new_2001,00BNFZ
00BNGA,,,,,,,,,,,,,,,,,,,40.0,10942.0,168.0,1.5353683056114056,821.0,7.503198683970024,7.623323701751633,47.589045375196925,3.1906596193844976,24.543039410140942,28.19823186662127,20.403719926757212,4.296756044309406,13.68480322426995,63.5296431894909,new_2001,00BNGA
00BNGB,,,,,,,,,,,,,,,,,,,41.0,12453.0,106.0,0.8512005139323857,186.0,1.493615996145507,3.995518685452053,60.31456419708771,5.123971854521065,63.3942938177341,26.550187698883725,6.697596230799881,1.285630020682068,6.239528158441409,35.87391922358653,new_2001,00BNGB
00BNGC,,,,,,,,,,,,,,,,,,,39.0,10691.0,42.0,0.3928538022635862,95.0,0.8885978860723973,5.675647485707798,53.24637795702105,3.939234996984743,40.96584561952004,39.72634731511137,11.038393705014743,2.012923440879254,7.318609269295639,53.7146177030437,new_2001,00BNGC
00BNGD,,,,,,,,,,,,,,,,,,,45.0,12678.0,81.0,0.6389020350212967,229.0,1.806278592837987,3.940370350735467,61.97661464838473,5.270122981899461,55.67887555751861,32.158337978703386,8.569636036542002,1.8374097808458374,6.476201220148575,37.00230725560951,new_2001,00BNGD
00BNGE,,,,,,,,,,,,,,,,,,,50.0,15309.0,125.0,0.8165131621921745,765.0,4.997060552616108,4.0543111991760785,55.25167519936258,4.291167771166563,37.23350162552001,26.27194001218066,31.763499167908492,1.8449933903220732,6.950477384259467,40.13588528645689,new_2001,00BNGE
00BNGF,,,,,,,,,,,,,,,,,,,35.0,14355.0,403.0,2.8073841866945317,2219.0,15.458028561476837,3.8002928189789156,41.24542226319886,3.066222194552877,31.958279340343914,23.824708162846758,37.77667533991796,5.145322152586898,7.8463065209829805,48.8912101649187,new_2001,00BNGF
00BNGG,,,,,,,,,,,,,,,,,,,36.0,10100.0,31.0,0.3069306930693069,126.0,1.2475247524752475,4.947042313702506,62.356045602211324,3.932576436024423,47.78590035610507,20.75975998982881,6.324696866767087,1.3119594898704152,9.31103353505542,42.18534481121246,new_2001,00BNGG
00BNGH,,,,,,,,,,,,,,,,,,,40.0,12015.0,115.0,0.9571369121930919,1688.0,14.04910528506034,5.295440384062594,62.19438488673444,8.229853210982585,57.037633651052246,6.205279690563583,24.998203868924325,4.36969246287312,9.49733648044311,33.624215928472005,new_2001,00BNGH
00BNGJ,,,,,,,,,,,,,,,,,,,45.0,14115.0,176.0,1.246900460503011,799.0,5.660644704215374,3.0929160232317585,55.720133753060544,5.402146576864611,45.16995976075746,14.022161580781273,34.52753401355326,1.7913457847748284,8.431253577256529,38.20903889343619,new_2001,00BNGJ
00BNGK,,,,,,,,,,,,,,,,,,,39.0,10931.0,71.0,0.6495288628670753,124.0,1.1343884365565822,5.608771416636222,59.09446772730192,3.1192300485703846,39.37827526535577,48.03130730637197,7.743385295908276,2.2554486918111394,9.484561287296964,48.7061624311868,new_2001,00BNGK
