zoneid,ward_name,year,geography_level,TOTAL_RES_1991,TOTAL_MALE_1991,TOTAL_FEMALE_1991,PCT_MALE_1991,PCT_FEMALE_1991,CHINESE_ETHNIC_1991,CHINESE_ETHNIC_MALE_1991,CHINESE_ETHNIC_FEMALE_1991,PCT_CHINESE_ETHNIC_1991,CHINESE_AGE_0_4_1991,CHINESE_AGE_5_15_1991,CHINESE_AGE_16_29_1991,CHINESE_AGE_30_PENSION_1991,CHINESE_PENSIONABLE_1991,CHINESE_LIMITING_ILLNESS_1991,CHINA_BORN_1991,CHINA_BORN_MALE_1991,CHINA_BORN_FEMALE_1991,PCT_CHINA_BORN_1991,CHINESE_16PLUS_1991,CHINESE_ECON_ACTIVE_1991,CHINESE_UNEMPLOYED_1991,CHINESE_EMP_RATE_1991,CHINESE_UNEMP_RATE_1991,CHINESE_HOUSEHOLDS_1991,CHINESE_OVERCROWD_GT1P5_1991,CHINESE_OWNER_OCC_1991,PCT_CHINESE_OVERCROWD_1991,PCT_CHINESE_OWNER_OCC_1991
03BNFR,Fallowfield,1991,ward,10701,5082,5619,47.49088870199047,52.50911129800953,104,56,48,0.9718717876833941,2,4,47,46,5,9,31,13,18,0.28969255209793476,274,144,26,52.55474452554745,9.489051094890511,93,2,40,2.150537634408602,43.01075268817204
03BNFS,Gorton North,1991,ward,13841,6620,7221,47.828914095802325,52.171085904197675,108,51,57,0.7802904414420924,16,18,36,34,4,1,13,5,8,0.09392384943284444,119,83,10,69.74789915966386,8.403361344537815,54,2,28,3.7037037037037037,51.851851851851855
03BNFT,Gorton South,1991,ward,13187,6308,6879,47.83498900432244,52.16501099567756,57,34,23,0.4322438765450823,3,9,22,21,2,4,12,8,4,0.09099871085159626,122,74,18,60.65573770491803,14.754098360655737,58,0,32,0.0,55.172413793103445
03BNFU,Harpurhey,1991,ward,11805,5613,6192,47.547649301143586,52.452350698856414,116,58,58,0.9826344769165608,15,18,31,47,5,4,18,10,8,0.15247776365946633,144,73,20,50.69444444444444,13.88888888888889,58,0,15,0.0,25.862068965517242
03BNFW,Levenshulme,1991,ward,7637,4165,3472,54.53712190650779,45.46287809349221,276,210,66,3.6139845489066387,7,3,155,103,8,13,123,100,23,1.6105800707083933,523,139,51,26.577437858508603,9.751434034416826,198,7,2,3.5353535353535355,1.0101010101010102
03BNFX,Lightbowne,1991,ward,13257,6495,6762,48.99298483819869,51.00701516180131,77,45,32,0.5808252244097458,5,15,27,29,1,6,10,5,5,0.075431847325941,194,116,22,59.79381443298969,11.34020618556701,78,0,49,0.0,62.82051282051282
03BNFY,Longsight,1991,ward,13182,6183,6999,46.90487027765134,53.09512972234866,39,23,16,0.2958579881656805,4,1,17,17,0,1,6,2,4,0.04551661356395084,64,45,9,70.3125,14.0625,27,1,14,3.7037037037037037,51.851851851851855
03BNFZ,Moss Side,1991,ward,14928,7378,7550,49.42390139335477,50.57609860664523,230,128,102,1.5407288317256163,21,37,84,84,4,8,36,17,19,0.24115755627009647,425,216,63,50.8235294117647,14.823529411764707,198,5,73,2.525252525252525,36.86868686868687
03BNGA,Moston,1991,ward,13103,6122,6981,46.7221247042662,53.2778752957338,154,81,73,1.1753033656414562,10,9,81,48,6,6,45,20,25,0.34343280164847745,406,208,74,51.23152709359606,18.226600985221676,169,0,34,0.0,20.118343195266274
03BNGB,Newton Heath,1991,ward,12897,6180,6717,47.91812049313794,52.08187950686206,107,55,52,0.8296503062727766,11,22,31,38,5,1,15,10,5,0.11630611770179111,88,62,5,70.45454545454545,5.681818181818182,35,0,26,0.0,74.28571428571429
03BNGC,Northenden,1991,ward,12663,5996,6667,47.35054884308616,52.64945115691384,37,19,18,0.2921898444286504,5,10,12,9,1,2,4,1,3,0.03158809128958383,62,39,7,62.903225806451616,11.290322580645162,30,0,12,0.0,40.0
03BNGD,Old Moat,1991,ward,12544,5777,6767,46.05389030612245,53.94610969387755,47,20,27,0.3746811224489796,9,11,7,20,0,1,11,6,5,0.08769132653061225,85,62,13,72.94117647058823,15.294117647058824,50,2,22,4.0,44.0
03BNGE,Rusholme,1991,ward,13276,6442,6834,48.523651702319974,51.476348297680026,75,36,39,0.5649291955408255,1,8,26,37,3,3,25,15,10,0.18830973184694186,294,171,35,58.16326530612245,11.904761904761905,142,9,49,6.338028169014085,34.50704225352113
03BNGF,Sharston,1991,ward,10457,5209,5248,49.81352204265085,50.18647795734915,132,70,62,1.2623123266711294,5,10,85,32,0,1,32,17,15,0.3060151094960314,394,170,25,43.14720812182741,6.345177664974619,139,6,55,4.316546762589928,39.568345323741006
03BNGG,Whalley Range,1991,ward,11866,5564,6302,46.890274734535645,53.109725265464355,33,13,20,0.27810551154559243,6,8,6,11,2,1,3,0,3,0.025282319231417494,79,53,8,67.0886075949367,10.126582278481013,38,1,19,2.6315789473684212,50.0
03BNGH,Withington,1991,ward,12582,6348,6234,50.453028135431566,49.546971864568434,141,67,74,1.1206485455412494,10,25,48,51,7,4,16,7,9,0.1271657924018439,443,261,70,58.91647855530474,15.801354401805868,196,7,89,3.5714285714285716,45.40816326530612
03BNGJ,Woodhouse Park,1991,ward,12152,5900,6252,48.55167873601053,51.44832126398947,116,59,57,0.9545753785385122,4,15,47,47,3,1,33,19,14,0.271560236998025,278,149,29,53.597122302158276,10.431654676258994,132,1,70,0.7575757575757576,53.03030303030303
03BNGK,Unknown,1991,ward,11386,5447,5939,47.83945195854558,52.16054804145442,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,22,15,2,68.18181818181819,9.090909090909092,14,0,6,0.0,42.857142857142854
03BNSS,Unknown,1991,ward,0,0,0,,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,,
