zoneid,ward_code,year,TOTAL_RES_1991,TOTAL_MALE_1991,TOTAL_FEMALE_1991,CHINESE_ETHNIC_1991,CHINESE_ETHNIC_MALE_1991,CHINESE_ETHNIC_FEMALE_1991,PCT_CHINESE_ETHNIC_1991,CHINESE_AGE_0_4_1991,CHINESE_AGE_5_15_1991,CHINESE_AGE_16_29_1991,CHINESE_AGE_30_PENSION_1991,CHINESE_PENSIONABLE_1991,CHINESE_LIMITING_ILLNESS_1991,CHINA_BORN_1991,PCT_CHINA_BORN_1991,CHINESE_16PLUS_1991,CHINESE_ECON_ACTIVE_1991,CHINESE_UNEMPLOYED_1991,CHINESE_HOUSEHOLDS_1991,CHINESE_OVERCROWD_GT1P5_1991,CHINESE_OWNER_OCC_1991,PCT_CHINESE_OVERCROWD_1991,PCT_CHINESE_OWNER_OCC_1991
03BNFZ22,03BNFZ,1991,539,271,268,0,0,0,0.0,0,0,0,0,0,0,0,0.0,2,0,0,2,0,0,0.0,0.0
03BNFZ23,03BNFZ,1991,474,222,252,1,1,0,0.2109704641350211,0,0,0,0,0,0,0,0.0,9,5,0,4,0,1,0.0,25.0
03BNFZ24,03BNFZ,1991,505,230,275,0,0,0,0.0,0,0,0,0,0,0,0,0.0,2,1,0,0,0,0,,
03BNFZ25,03BNFZ,1991,354,184,170,3,2,1,0.847457627118644,0,0,0,3,0,0,4,1.1299435028248588,7,2,1,2,0,0,0.0,0.0
03BNFZ26,03BNFZ,1991,410,194,216,1,1,0,0.24390243902439024,0,0,0,1,0,0,0,0.0,16,10,8,11,0,2,0.0,18.181818181818183
03BNFZ27,03BNFZ,1991,501,231,270,7,4,3,1.3972055888223553,0,1,0,6,0,0,3,0.5988023952095808,8,8,2,3,0,4,0.0,133.33333333333334
03BNFZ28,03BNFZ,1991,433,200,233,0,0,0,0.0,0,0,0,0,0,0,0,0.0,2,0,0,2,0,0,0.0,0.0
03BNFZ29,03BNFZ,1991,421,184,237,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,,
03BNFZ30,03BNFZ,1991,467,236,231,4,2,2,0.8565310492505354,2,0,0,1,0,0,1,0.21413276231263384,4,3,1,3,0,2,0.0,66.66666666666667
03BNFZ31,03BNFZ,1991,496,279,217,3,2,1,0.6048387096774194,0,2,0,2,0,0,1,0.20161290322580644,4,2,0,1,0,0,0.0,0.0
03BNFZ32,03BNFZ,1991,472,232,240,4,1,3,0.847457627118644,0,0,2,1,0,0,0,0.0,14,8,4,7,0,4,0.0,57.142857142857146
03BNFZ33,03BNFZ,1991,541,267,274,1,1,0,0.18484288354898337,0,0,1,0,0,0,0,0.0,5,2,0,2,0,2,0.0,100.0
03BNFZ34,03BNFZ,1991,578,289,289,0,0,0,0.0,0,0,0,0,0,0,0,0.0,20,9,3,6,0,4,0.0,66.66666666666667
03BNGA01,03BNGA,1991,321,147,174,6,2,4,1.8691588785046729,0,2,2,2,0,0,7,2.1806853582554515,4,2,0,1,0,0,0.0,0.0
03BNGA02,03BNGA,1991,383,168,215,0,0,0,0.0,0,0,0,0,0,0,0,0.0,6,2,2,5,0,0,0.0,0.0
03BNGA03,03BNGA,1991,525,235,290,11,5,6,2.0952380952380953,0,0,1,8,0,0,6,1.1428571428571428,30,21,12,11,2,0,18.181818181818183,0.0
03BNGA04,03BNGA,1991,265,125,140,4,2,2,1.509433962264151,0,0,0,3,0,0,3,1.1320754716981132,14,6,3,7,0,0,0.0,0.0
