"ukcas_table_name","table_code","table_label","table_title","table_full_title","table_universe","table_counts"
UV010S,UV010,Univariate Tables Table 10,Ethnic Group (Scotland),UV010: Ethnic Group (Scotland),All People,Persons
UV011NI,UV011,Univariate Tables Table 11,Ethnic Group,UV011: Ethnic Group,All People,Persons
UV012S,UV012,Univariate Tables Table 12,Knowledge of Gaelic,UV012: Knowledge of Gaelic,All People,Persons
UV013W,UV013,Univariate Tables Table 13,Knowledge Of Welsh,UV013: Knowledge Of Welsh,All People,Persons
UV014NI,UV014,Univariate Tables Table 14,Knowledge of Irish (Intermediate Details),UV014: Knowledge of Irish (Intermediate Details),All People Aged 3 and Over,Persons
UV015EW,UV015,Univariate Tables Table 15,Religion (England And Wales),UV015: Religion (England And Wales),All People,Persons
UV016S,UV016,Univariate Tables Table 16,Current Religion (Scotland),UV016: Current Religion (Scotland),All People,Persons
UV017S,UV017,Univariate Tables Table 17,Religion of Upbringing (Scotland),UV017: Religion of Upbringing (Scotland),All People,Persons
UV018NI,UV018,Univariate Tables Table 18,Religion (Basic Detail),UV018: Religion (Basic Detail),All People,Persons
UV019NI,UV019,Univariate Tables Table 19,Community Background: Religion or Religion Brought Up In,UV019: Community Background: Religion or Religion Brought Up In,All People,Persons
UV020S,UV020,Univariate Tables Table 20,General Health,UV020: General Health,All People,Persons
UV020NI,UV020,Univariate Tables Table 20,General Health,UV020: General Health,All People,Persons
UV020EW,UV020,Univariate Tables Table 20,General Health,UV020: General Health,All People,Persons
UV021S,UV021,Univariate Tables Table 21,Provision of Unpaid Care,UV021: Provision of Unpaid Care,All People,Persons
UV021NI,UV021,Univariate Tables Table 21,Provision of Unpaid Care,UV021: Provision of Unpaid Care,All People,Persons
UV021EW,UV021,Univariate Tables Table 21,Provision Of Unpaid Care,UV021: Provision Of Unpaid Care,All People,Persons
UV022S,UV022,Univariate Tables Table 22,Limiting Long-Term Illness,UV022: Limiting Long-Term Illness,All People,Persons
UV022NI,UV022,Univariate Tables Table 22,Limiting Long-Term Illness,UV022: Limiting Long-Term Illness,All People,Persons
UV022EW,UV022,Univariate Tables Table 22,Limiting Long-Term Illness,UV022: Limiting Long-Term Illness,All People,Persons
UV023NI,UV023,Univariate Tables Table 23,Migration (Persons),UV023: Migration (Persons),All People,Persons
UV023EW,UV023,Univariate Tables Table 23,Migration (People),UV023: Migration (People),,
UV024EW,UV024,Univariate Tables Table 24,Qualifications (England And Wales),UV024: Qualifications (England And Wales),All People,Persons
UV025S,UV025,Univariate Tables Table 25,Qualifications (Scotland),UV025: Qualifications (Scotland),All People Aged 16 to 74,Persons
UV026NI,UV026,Univariate Tables Table 26,Qualifications,UV026: Qualifications,All People Aged 16 to 74,Persons
UV027S,UV027,Univariate Tables Table 27,Time Since Last Worked,UV027: Time Since Last Worked,All People Aged 16 to 74,Persons
UV027EW,UV027,Univariate Tables Table 27,Time Since Last Worked,UV027: Time Since Last Worked,All People,Persons
UV028S,UV028,Univariate Tables Table 28,Economic Activity,UV028: Economic Activity,All People Aged 16 to 74,Persons
UV028EW,UV028,Univariate Tables Table 28,Economic Activity,UV028: Economic Activity,All People,Persons
UV029S,UV029,Univariate Tables Table 29,Economic Activity - Full-Time Students,UV029: Economic Activity - Full-Time Students,Full-time Students Aged 16 to 74,Persons
UV029EW,UV029,Univariate Tables Table 29,Economic Activity – Full-Time Students,UV029: Economic Activity – Full-Time Students,,
UV030S,UV030,Univariate Tables Table 30,Occupation,UV030: Occupation,All People Aged 16 to 74 in Employment,Persons
UV030NI,UV030,Univariate Tables Table 30,Occupation,UV030: Occupation,All People Aged 16 to 74 in Employment,Persons
UV030EW,UV030,Univariate Tables Table 30,Occupation  ,UV030: Occupation  ,All People,Persons
UV031S,UV031,Univariate Tables Table 31,National Statistics Socio-Economic Classification (NS-SeC),UV031: National Statistics Socio-Economic Classification (NS-SeC),All People Aged 16 to 74,Persons
UV031EW,UV031,Univariate Tables Table 31,National Statistics Socio-Economic Classification,UV031: National Statistics Socio-Economic Classification,All People,Persons
UV032EW,UV032,Univariate Tables Table 32,"NS-Sec Of Household Reference Person (People Under Pensionable Age) (England, Wales and Northern Ireland)","UV032: NS-Sec Of Household Reference Person (People Under Pensionable Age) (England, Wales and Northern Ireland)",All People Under Pensionable Age in Households,Persons
UV033EW,UV033,Univariate Tables Table 33,NS-SEC Of Household Reference Person (All People),UV033: NS-SEC Of Household Reference Person (All People),All People In Households,Persons
UV034S,UV034,Univariate Tables Table 34,Industry,UV034: Industry,All People Aged 16 to 74 in Employment,Persons
UV034NI,UV034,Univariate Tables Table 34,Industry,UV034: Industry,All People Aged 16 to 74 in Employment,Persons
UV034EW,UV034,Univariate Tables Table 34,Industry ,UV034: Industry ,All People,Persons
UV035EW,UV035,Univariate Tables Table 35,Distance Travelled To Work (England and Wales and Northern Ireland),UV035: Distance Travelled To Work (England and Wales and Northern Ireland),,
UV037EW,UV037,Univariate Tables Table 37,Means Of Travel To Work - Day Time Population (England and Wales and Northern Ireland),UV037: Means Of Travel To Work - Day Time Population (England and Wales and Northern Ireland),,
UV039EW,UV039,Univariate Tables Table 39,Means Of Travel To Work - Resident Population (England and Wales and Northern Ireland),UV039: Means Of Travel To Work - Resident Population (England and Wales and Northern Ireland),,
UV040S,UV040,Univariate Tables Table 40,Method of Travel to Work or Study - Resident Population (Scotland),UV040: Method of Travel to Work or Study - Resident Population (Scotland),All People Resident in the Area,Persons
UV041S,UV041,Univariate Tables Table 41,Hours Worked,UV041: Hours Worked,All People Aged 16 to 74 in Employment,Persons
UV041NI,UV041,Univariate Tables Table 41,Hours Worked,UV041: Hours Worked,All People Aged 16 to 74 in Employment,Persons
UV041EW,UV041,Univariate Tables Table 41,Hours Worked,UV041: Hours Worked,All People,Persons
UV042S,UV042,Univariate Tables Table 42,Accommodation Type (People),UV042: Accommodation Type (People),All People in Households,Persons
UV042NI,UV042,Univariate Tables Table 42,Accommodation Type (Persons),UV042: Accommodation Type (Persons),All People in Households,Persons
UV042EW,UV042,Univariate Tables Table 42,Accommodation Type (People),UV042: Accommodation Type (People),All People,Persons
UV043EW,UV043,Univariate Tables Table 43,"Tenure (People) (England, Wales and Northern Ireland)","UV043: Tenure (People) (England, Wales and Northern Ireland)",All People in Households,Persons
UV044S,UV044,Univariate Tables Table 44,Tenure (People) (Scotland),UV044: Tenure (People) (Scotland),All People in Households,Persons
UV045EW,UV045,Univariate Tables Table 45,Tenure Of Pensioners,UV045: Tenure Of Pensioners,All Households Where HRP is of Pensionable Age,Households
UV046S,UV046,Univariate Tables Table 46,Household Composition (People),UV046: Household Composition (People),All People in Households,Persons
UV046NI,UV046,Univariate Tables Table 46,Household Composition (Persons),UV046: Household Composition (Persons),All People in Households,Persons
UV046EW,UV046,Univariate Tables Table 46,Household Composition (People) (England and Wales and Northern Ireland),UV046: Household Composition (People) (England and Wales and Northern Ireland),All People,Persons
UV047S,UV047,Univariate Tables Table 47,Household Composition (People) (Alternative Classification),UV047: Household Composition (People) (Alternative Classification),All People in Households,Persons
UV047NI,UV047,Univariate Tables Table 47,Household Composition (Persons),UV047: Household Composition (Persons),All People in Households,Persons
UV047EW,UV047,Univariate Tables Table 47,Household Composition (People) (Alternative Classification),UV047: Household Composition (People) (Alternative Classification),All People In Households,Persons
UV048EW,UV048,Univariate Tables Table 48,People aged 18 - 64 in single adult household ,UV048: People aged 18 - 64 in single adult household ,All People Aged 18-64 in Households,Persons
UV049S,UV049,Univariate Tables Table 49,Living Arrangements,UV049: Living Arrangements,All People Aged 16 and Over in Households,Persons
UV050S,UV050,Univariate Tables Table 50,Approximated Social Grade,UV050: Approximated Social Grade,All People Aged 16 and Over in Households,Persons
UV050NI,UV050,Univariate Tables Table 50,Approximated Social Grade (Persons),UV050: Approximated Social Grade (Persons),All People Aged 16 and Over in Households,Persons
UV050EW,UV050,Univariate Tables Table 50,Approximated Social Grade,UV050: Approximated Social Grade,All People,Persons
UV051S,UV051,Univariate Tables Table 51,Number of People Living in Households,UV051: Number of People Living in Households,All Occupied Household Spaces,Household Spaces
UV051NI,UV051,Univariate Tables Table 51,Number of Persons Living in Households,UV051: Number of Persons Living in Households,All Occupied Household Spaces,Household Spaces
UV051EW,UV051,Univariate Tables Table 51,Number Of People Living In Households,UV051: Number Of People Living In Households,All Occupied Household Spaces,Household Spaces
UV052NI,UV052,Univariate Tables Table 52,Migration (Households),UV052: Migration (Households),All Households,Households
UV052EW,UV052,Univariate Tables Table 52,Migration (Households),UV052: Migration (Households),,
UV053S,UV053,Univariate Tables Table 53,Housing Stock,UV053: Housing Stock,All Household Spaces,Household Spaces
UV053NI,UV053,Univariate Tables Table 53,Housing Stock,UV053: Housing Stock,All Household Spaces,Household Spaces
UV053EW,UV053,Univariate Tables Table 53,Housing Stock,UV053: Housing Stock,All Household Spaces,Household Spaces
UV054NI,UV054,Univariate Tables Table 54,Location of Rooms,UV054: Location of Rooms,All Households,Households
UV055S,UV055,Univariate Tables Table 55,Dwellings,UV055: Dwellings,All Dwellings,Dwellings
UV055NI,UV055,Univariate Tables Table 55,Dwellings,UV055: Dwellings,All Dwellings,Dwellings
UV055EW,UV055,Univariate Tables Table 55,Dwellings ,UV055: Dwellings ,,
UV056S,UV056,Univariate Tables Table 56,Accommodation Type (Households),UV056: Accommodation Type (Households),All Households,Households
UV056NI,UV056,Univariate Tables Table 56,Accommodation Type (Households),UV056: Accommodation Type (Households),All Households,Households
UV056EW,UV056,Univariate Tables Table 56,Accommodation Type (Households),UV056: Accommodation Type (Households),All Households,Households
UV057S,UV057,Univariate Tables Table 57,Number of Rooms,UV057: Number of Rooms,All Occupied Household Spaces,Household Spaces
UV057NI,UV057,Univariate Tables Table 57,Number of Rooms,UV057: Number of Rooms,All Occupied Household Spaces,Household Spaces
UV057EW,UV057,Univariate Tables Table 57,Number Of Rooms,UV057: Number Of Rooms,All Occupied Household Spaces,Household Spaces
UV058S,UV058,Univariate Tables Table 58,Persons Per Room,UV058: Persons Per Room,All Households,Households
UV058NI,UV058,Univariate Tables Table 58,Persons Per Room (Households),UV058: Persons Per Room (Households),All Households,Households
UV058EW,UV058,Univariate Tables Table 58,Persons Per Room,UV058: Persons Per Room,All Households,Households
UV059S,UV059,Univariate Tables Table 59,Occupancy Rating,UV059: Occupancy Rating,All Households,Households
UV059NI,UV059,Univariate Tables Table 59,Occupancy (Households),UV059: Occupancy (Households),All Households,Households
UV059EW,UV059,Univariate Tables Table 59,Occupancy ,UV059: Occupancy ,All Households,Households
UV060S,UV060,Univariate Tables Table 60,Amenities,UV060: Amenities,All Occupied Household Spaces,Household Spaces
UV060NI,UV060,Univariate Tables Table 60,Amenities,UV060: Amenities,All Occupied Household Spaces,Household Spaces
UV060EW,UV060,Univariate Tables Table 60,Amenities ,UV060: Amenities ,All Occupied Household Spaces,Household Spaces
UV061S,UV061,Univariate Tables Table 61,Lowest Floor Level,UV061: Lowest Floor Level,All Households,Households
UV061NI,UV061,Univariate Tables Table 61,Lowest Floor Level,UV061: Lowest Floor Level,All Households,Households
UV061EW,UV061,Univariate Tables Table 61,Lowest Floor Level,UV061: Lowest Floor Level,All Households,Households
UV062S,UV062,Univariate Tables Table 62,Cars or Vans,UV062: Cars or Vans,All Households,Households
UV062NI,UV062,Univariate Tables Table 62,Cars or Vans,UV062: Cars or Vans,All Households,Households
UV062EW,UV062,Univariate Tables Table 62,Cars Or Vans,UV062: Cars Or Vans,All Households,Households
UV063EW,UV063,Univariate Tables Table 63,"Tenure Households (England, Wales and Northern Ireland)","UV063: Tenure Households (England, Wales and Northern Ireland)",All Households,Households
UV064S,UV064,Univariate Tables Table 64,Tenure (Households) (Scotland),UV064: Tenure (Households) (Scotland),All Households,Households
UV065S,UV065,Univariate Tables Table 65,Household Composition (Households),UV065: Household Composition (Households),All Households,Households
UV065NI,UV065,Univariate Tables Table 65,Household Composition (Households),UV065: Household Composition (Households),All Households,Households
UV065EW,UV065,Univariate Tables Table 65,Household composition (households) ,UV065: Household composition (households) ,All Households,Households
UV066S,UV066,Univariate Tables Table 66,Household Composition (Households) (Alternative Classification),UV066: Household Composition (Households) (Alternative Classification),All Households,Households
UV066NI,UV066,Univariate Tables Table 66,Household Composition (Households) (Alternative Classification),UV066: Household Composition (Households) (Alternative Classification),All Households,Households
UV066EW,UV066,Univariate Tables Table 66,Household Composition (Households) (Alternative Classification),UV066: Household Composition (Households) (Alternative Classification),All Households,Households
UV067EW,UV067,Univariate Tables Table 67,Households By Selected Household Characteristics,UV067: Households By Selected Household Characteristics,All Households,Households
UV068S,UV068,Univariate Tables Table 68,Household Type,UV068: Household Type,All Households,Households
UV068EW,UV068,Univariate Tables Table 68,Household Type,UV068: Household Type,All Households,Households
UV069S,UV069,Univariate Tables Table 69,Multiple Ethnic Groups,UV069: Multiple Ethnic Groups,All Households,Households
UV069NI,UV069,Univariate Tables Table 69,Multiple Ethnic Groups,UV069: Multiple Ethnic Groups,All Households,Households
UV069EW,UV069,Univariate Tables Table 69,Multiple Ethnic Groups,UV069: Multiple Ethnic Groups,All Households,Households
UV070S,UV070,Univariate Tables Table 70,"Communal Establishment (England, Wales and Scotland)","UV070: Communal Establishment (England, Wales and Scotland)",All Communal Establishments,Communal Establishments
UV070EW,UV070,Univariate Tables Table 70,"Communal Establishments (England, Wales and Scotland)","UV070: Communal Establishments (England, Wales and Scotland)",All Communal Establishments,Communal Establishments
UV071S,UV071,Univariate Tables Table 71,Communal Establishment Residents,UV071: Communal Establishment Residents,All People in Communal Establishments,Persons
UV071EW,UV071,Univariate Tables Table 71,Communal establishment residents ,UV071: Communal establishment residents ,All People in Communal Establishments,Persons
UV072NI,UV072,Univariate Tables Table 72,Communal Establishments,UV072: Communal Establishments,All Communal Establishments,Communal Establishments
