"ukcas_table_name","table_code","table_label","table_title","table_full_title","table_universe","table_counts"
AF001EW,AF001,Armed Forces Table 1,Residents in Employment in Armed Forces,AF001: Residents in Employment in Armed Forces,All Residents  in Armed Forces,Persons
AF002EW,AF002,Armed Forces Table 2,Residents in Households with Household Reference Person in Armed Forces,AF002: Residents in Households with Household Reference Person in Armed Forces,All People Resident in Households with Armed FOrces Personnel ,Persons
AF003EW,AF003,Armed Forces Table 3,Economic Activity of People Resident in Households Where Household Reference Person in Armed Forces,AF003: Economic Activity of People Resident in Households Where Household Reference Person in Armed Forces,All Associated People Resident Armed Forces Personnel,Persons
AF004EW,AF004,Armed Forces Table 4,UK and Foreign Armed Forces by Residence and Workplace,AF004: UK and Foreign Armed Forces by Residence and Workplace,All People in Armed Forces,Persons
CS001S,CS001,Census Area Statistics Table 1,Age by Sex and Resident Type,CS001: Age by Sex and Resident Type,All People,Persons
CS001NI,CS001,Census Area Statistics Table 1,Age by Sex and Whether Living in a Household or Communal Establishment,CS001: Age by Sex and Whether Living in a Household or Communal Establishment,All People,Persons
CS001EW,CS001,Census Area Statistics Table 1,Age by Sex and Resident Type,CS001: Age by Sex and Resident Type,All People,People
CS002S,CS002,Census Area Statistics Table 2,Age by Sex and Marital Status,CS002: Age by Sex and Marital Status,All People,Persons
CS002NI,CS002,Census Area Statistics Table 2,Age by Sex and Marital Status,CS002: Age by Sex and Marital Status,All People,Persons
CS002EW,CS002,Census Area Statistics Table 2,Age by Sex and Marital Status,CS002: Age by Sex and Marital Status,All People,People
CS003S,CS003,Census Area Statistics Table 3,Age of Household Reference Person (HRP) by Sex and Marital Status (Headship),CS003: Age of Household Reference Person (HRP) by Sex and Marital Status (Headship),All Households,Households
CS003NI,CS003,Census Area Statistics Table 3,Age of Household Reference Person (HRP) by Sex and Marital Status (Headship),CS003: Age of Household Reference Person (HRP) by Sex and Marital Status (Headship),All Households,Households
CS003EW,CS003,Census Area Statistics Table 3,Age of Household Reference Person (HRP) by Sex and Marital Status (Headship),CS003: Age of Household Reference Person (HRP) by Sex and Marital Status (Headship),All Households,Households
CS004S,CS004,Census Area Statistics Table 4,Age by Sex and Living Arrangements,CS004: Age by Sex and Living Arrangements,All People in Households,Persons
CS004EW,CS004,Census Area Statistics Table 4,Age by Sex and Living Arrangements,CS004: Age by Sex and Living Arrangements,All People in Households,People
CS005S,CS005,Census Area Statistics Table 5,Age of Household Reference Person (HRP) by Sex and Living Arrangements,CS005: Age of Household Reference Person (HRP) by Sex and Living Arrangements,All HRPs in Households,Persons
CS005NI,CS005,Census Area Statistics Table 5,Age of Household Reference Person (HRP) by Sex and Living Arrangements,CS005: Age of Household Reference Person (HRP) by Sex and Living Arrangements,All HRPs in Households,Persons
CS005EW,CS005,Census Area Statistics Table 5,Age of Household Reference Person (HRP) by Sex and Living Arrangements,CS005: Age of Household Reference Person (HRP) by Sex and Living Arrangements,All HRPs in Households,People
CS007S,CS007,Census Area Statistics Table 7,Age of Family Reference Person (FRP) and Number and Age of Dependent Children by Family Type,CS007: Age of Family Reference Person (FRP) and Number and Age of Dependent Children by Family Type,All Families,Families
CS007NI,CS007,Census Area Statistics Table 7,Age of Family Reference Person (FRP) and Number and Age of Dependent Children by Family Type,CS007: Age of Family Reference Person (FRP) and Number and Age of Dependent Children by Family Type,All Families,Families
CS007EW,CS007,Census Area Statistics Table 7,Age of Family Reference Person (FRP) and Number and Age of Dependent Children by Family Type,CS007: Age of Family Reference Person (FRP) and Number and Age of Dependent Children by Family Type,All Families,Families
CS011S,CS011,Census Area Statistics Table 11,Family Composition by Age of Family Reference Person (FRP),CS011: Family Composition by Age of Family Reference Person (FRP),All Families,Families
CS011NI,CS011,Census Area Statistics Table 11,Family Composition by Age of Family Reference Person (FRP),CS011: Family Composition by Age of Family Reference Person (FRP),All Families,Families
CS011EW,CS011,Census Area Statistics Table 11,Family Composition by Age of Family Reference Person (FRP),CS011: Family Composition by Age of Family Reference Person (FRP),All Families,Families
CS012S,CS012,Census Area Statistics Table 12,Schoolchildren and Students in Full-Time Education Living Away from Home in Term-Time by Age,CS012: Schoolchildren and Students in Full-Time Education Living Away from Home in Term-Time by Age,All Schoolchildren and Students in FT Education who would Reside in the Area were they not Living Away from Home During Term-Time,Persons
CS012NI,CS012,Census Area Statistics Table 12,Schoolchildren and Students in Full-Time Education Living Away from Home in Term-Time by Age,CS012: Schoolchildren and Students in Full-Time Education Living Away from Home in Term-Time by Age,All Schoolchildren and Students in FT Education who would Reside in the Area were they not Living Away from Home During Term-Time,Persons
CS012EW,CS012,Census Area Statistics Table 12,Schoolchildren and Students in Full-Time Education Living Away from Home in Term-Time by Age,CS012: Schoolchildren and Students in Full-Time Education Living Away from Home in Term-Time by Age,All Schoolchildren and Students in Full-Time Education who Would Reside in the Area were they not Living Away from Home During Term-Time,People
CS013S,CS013,Census Area Statistics Table 13,Age of Household Reference Person (HRP) and Tenure by Economic Activity of HRP,CS013: Age of Household Reference Person (HRP) and Tenure by Economic Activity of HRP,All Households with HRP Aged 16 to 74,Households
CS013EW,CS013,Census Area Statistics Table 13,Age of Household Reference Person (HRP) and Tenure by Economic Activity of HRP,CS013: Age of Household Reference Person (HRP) and Tenure by Economic Activity of HRP,All Households with HRP Aged 16 to 74,Households
CS014S,CS014,Census Area Statistics Table 14,Age and Dependent Children by Household Type (Adults),CS014: Age and Dependent Children by Household Type (Adults),All Adults in Households,Persons
CS014NI,CS014,Census Area Statistics Table 14,Age and Dependent Children by Household Type (Adults),CS014: Age and Dependent Children by Household Type (Adults),All Adults in Households,Persons
CS014EW,CS014,Census Area Statistics Table 14,Age and Dependent Children by Household Type (Adults),CS014: Age and Dependent Children by Household Type (Adults),All Adults in Households,People
CS015S,CS015,Census Area Statistics Table 15,Country of Birth by Sex,CS015: Country of Birth by Sex,All People,Persons
CS015NI,CS015,Census Area Statistics Table 15,Country of Birth by Gender,CS015: Country of Birth by Gender,All People,Persons
CS015EW,CS015,Census Area Statistics Table 15,Country of Birth by Sex,CS015: Country of Birth by Sex,All People,People
CS016S,CS016,Census Area Statistics Table 16,Sex and Age by General Health and Limiting Long-Term Illness (LLTI),CS016: Sex and Age by General Health and Limiting Long-Term Illness (LLTI),All People in Households,Persons
CS016NI,CS016,Census Area Statistics Table 16,Sex and Age by General Health and Limiting Long-Term Illness (LLTI),CS016: Sex and Age by General Health and Limiting Long-Term Illness (LLTI),All People in Households,Persons
CS016EW,CS016,Census Area Statistics Table 16,Sex and Age by General Health and Limiting Long-Term Illness (LLTI),CS016: Sex and Age by General Health and Limiting Long-Term Illness (LLTI),All People in Households,People
CS017S,CS017,Census Area Statistics Table 17,Tenure and Age by General Health and Limiting Long-Term Illness (LLTI),CS017: Tenure and Age by General Health and Limiting Long-Term Illness (LLTI),All People in Households,Persons
CS017EW,CS017,Census Area Statistics Table 17,Tenure and Age by General Health and Limiting Long-Term Illness (LLTI),CS017: Tenure and Age by General Health and Limiting Long-Term Illness (LLTI),All People in Households,People
CS018S,CS018,Census Area Statistics Table 18,"Sex, Amenities and Central Heating by General Health and Limiting Long-Term Illness (LLTI)","CS018: Sex, Amenities and Central Heating by General Health and Limiting Long-Term Illness (LLTI)",All People in Households,Persons
CS018NI,CS018,Census Area Statistics Table 18,"Sex, Amenities and Central Heating by General Health and Limiting Long-Term Illness (LLTI)","CS018: Sex, Amenities and Central Heating by General Health and Limiting Long-Term Illness (LLTI)",All People in Households,Persons
CS018EW,CS018,Census Area Statistics Table 18,"Sex, Amenities and Central Heating by General Health and Limiting Long-Term Illness (LLTI)","CS018: Sex, Amenities and Central Heating by General Health and Limiting Long-Term Illness (LLTI)",All People in Households,People
CS019S,CS019,Census Area Statistics Table 19,"General Health, Limiting Long-Term Illness (LLTI) and Occupancy Rating by Age","CS019: General Health, Limiting Long-Term Illness (LLTI) and Occupancy Rating by Age",All People in Households,Persons
CS019NI,CS019,Census Area Statistics Table 19,"General Health, Limiting Long-Term Illness (LLTI) and Occupancy Rating by Age","CS019: General Health, Limiting Long-Term Illness (LLTI) and Occupancy Rating by Age",All People in Households,Persons
CS019EW,CS019,Census Area Statistics Table 19,"General Health, Limiting Long-Term Illness (LLTI) and Occupancy Rating by Age","CS019: General Health, Limiting Long-Term Illness (LLTI) and Occupancy Rating by Age",All People in Households,People
CS020S,CS020,Census Area Statistics Table 20,Limiting Long-Term Illness (LLTI) and Age by Accommodation Type and Lowest Floor Level of Accommodation,CS020: Limiting Long-Term Illness (LLTI) and Age by Accommodation Type and Lowest Floor Level of Accommodation,All People in Households,Persons
CS020NI,CS020,Census Area Statistics Table 20,Limiting Long-Term Illness (LLTI) and Age by Accommodation Type and Lowest Floor Level of Accommodation,CS020: Limiting Long-Term Illness (LLTI) and Age by Accommodation Type and Lowest Floor Level of Accommodation,All People in Households,Persons
CS020EW,CS020,Census Area Statistics Table 20,Limiting Long-Term Illness (LLTI) and Age by Accommodation Type and Lowest Floor Level of Accommodation,CS020: Limiting Long-Term Illness (LLTI) and Age by Accommodation Type and Lowest Floor Level of Accommodation,All People in Households,People
CS021S,CS021,Census Area Statistics Table 21,Economic Activity by Sex and Limiting Long-Term Illness (LLTI),CS021: Economic Activity by Sex and Limiting Long-Term Illness (LLTI),All People Aged 16 to 74,Persons
CS021NI,CS021,Census Area Statistics Table 21,Economic Activity by Sex and Limiting Long-Term Illness (LLTI),CS021: Economic Activity by Sex and Limiting Long-Term Illness (LLTI),All People Aged 16 to 74,Persons
CS021EW,CS021,Census Area Statistics Table 21,Economic Activity by Sex and Limiting Long-Term Illness (LLTI),CS021: Economic Activity by Sex and Limiting Long-Term Illness (LLTI),All People Aged 16 to 74,People
CS022S,CS022,Census Area Statistics Table 22,Sex and Number of Cars or Vans in Household by General Health and Limiting Long-Term Illness (LLTI),CS022: Sex and Number of Cars or Vans in Household by General Health and Limiting Long-Term Illness (LLTI),All People in Households,Persons
CS022NI,CS022,Census Area Statistics Table 22,Sex and Number of Cars or Vans in Household by General Health and Limiting Long-Term Illness (LLTI),CS022: Sex and Number of Cars or Vans in Household by General Health and Limiting Long-Term Illness (LLTI),All People in Households,Persons
CS022EW,CS022,Census Area Statistics Table 22,Sex and Number of Cars or Vans in Household by General Health and Limiting Long-Term Illness (LLTI),CS022: Sex and Number of Cars or Vans in Household by General Health and Limiting Long-Term Illness (LLTI),All People in Households,People
CS023S,CS023,Census Area Statistics Table 23,Age and General Health by NS-SeC,CS023: Age and General Health by NS-SeC,All People Aged 16 to 74,Persons
CS023EW,CS023,Census Area Statistics Table 23,Age and General Health by NS-SeC,CS023: Age and General Health by NS-SeC,All People Aged 16 to 74,People
CS024S,CS024,Census Area Statistics Table 24,"Sex, Age and Limiting Long-Term Illness (LLTI) by NS-SeC","CS024: Sex, Age and Limiting Long-Term Illness (LLTI) by NS-SeC",All People Aged 16 to 74,Persons
CS024EW,CS024,Census Area Statistics Table 24,"Sex, Age and Limiting Long-Term Illness (LLTI) by NS-SeC","CS024: Sex, Age and Limiting Long-Term Illness (LLTI) by NS-SeC",All People Aged 16 to 74,People
CS025S,CS025,Census Area Statistics Table 25,Sex and Age by General Health and Provision of Unpaid Care,CS025: Sex and Age by General Health and Provision of Unpaid Care,All People in Households,Persons
CS025NI,CS025,Census Area Statistics Table 25,Sex and Age by Provision of Unpaid Care,CS025: Sex and Age by Provision of Unpaid Care,All People Aged 16 to 74 in Households,Persons
CS025EW,CS025,Census Area Statistics Table 25,Sex and Age by General Health and Provision of Unpaid Care,CS025: Sex and Age by General Health and Provision of Unpaid Care,All People in Households,People
CS026S,CS026,Census Area Statistics Table 26,Sex and Economic Activity by General Health and Provision of Unpaid Care,CS026: Sex and Economic Activity by General Health and Provision of Unpaid Care,All People Aged 16 to 74 in Households,Persons
CS026NI,CS026,Census Area Statistics Table 26,Economic Activity by Provision of Unpaid Care,CS026: Economic Activity by Provision of Unpaid Care,All People Aged 16 to 74 in Households,Persons
CS026EW,CS026,Census Area Statistics Table 26,Sex and Economic Activity by General Health and Provision of Unpaid Care,CS026: Sex and Economic Activity by General Health and Provision of Unpaid Care,All People Aged 16 to 74 in Households,People
CS027S,CS027,Census Area Statistics Table 27,Households with a Person with a Limiting Long-Term Illness (LLTI) and their Age by Number of Carers in Household and Economic Activity,CS027: Households with a Person with a Limiting Long-Term Illness (LLTI) and their Age by Number of Carers in Household and Economic Activity,All Households,Households
CS027NI,CS027,Census Area Statistics Table 27,Households with a Person with a Limiting Long-Term Illness (LLTI) by Number of Carers in Household and Economic Activity,CS027: Households with a Person with a Limiting Long-Term Illness (LLTI) by Number of Carers in Household and Economic Activity,All Households,Households
CS027EW,CS027,Census Area Statistics Table 27,Households with a Person with a Limiting Long-Term Illness (LLTI) and their Age by Number of Carers in Household and Economic Activity,CS027: Households with a Person with a Limiting Long-Term Illness (LLTI) and their Age by Number of Carers in Household and Economic Activity,All Households,Households
CS028S,CS028,Census Area Statistics Table 28,Sex and Age by Economic Activity,CS028: Sex and Age by Economic Activity,All People Aged 16 to 74,Persons
CS028NI,CS028,Census Area Statistics Table 28,Sex and Age by Economic Activity,CS028: Sex and Age by Economic Activity,All People Aged 16 to 74,Persons
CS028EW,CS028,Census Area Statistics Table 28,Sex and Age by Economic Activity,CS028: Sex and Age by Economic Activity,All People Aged 16 to 74,People
CS029S,CS029,Census Area Statistics Table 29,Sex and Age by Hours Worked,CS029: Sex and Age by Hours Worked,All People Aged 16 to 74 in Employment the Week Before the Census,Persons
CS029NI,CS029,Census Area Statistics Table 29,Sex and Age by Hours Worked,CS029: Sex and Age by Hours Worked,All People Aged 16 to 74 in Employment the Week Before the Census,Persons
CS029EW,CS029,Census Area Statistics Table 29,Sex and Age by Hours Worked,CS029: Sex and Age by Hours Worked,All People Aged 16 to 74 in Employment the Week Before the Census,People
CS030S,CS030,Census Area Statistics Table 30,Sex and Economic Activity by Living Arrangements,CS030: Sex and Economic Activity by Living Arrangements,All People Aged 16 to 74 in Households,Persons
CS030NI,CS030,Census Area Statistics Table 30,Sex and Economic Activity by Living Arrangements,CS030: Sex and Economic Activity by Living Arrangements,All People Aged 16 to 74 in Households,Persons
CS030EW,CS030,Census Area Statistics Table 30,Sex and Economic Activity by Living Arrangements,CS030: Sex and Economic Activity by Living Arrangements,All People Aged 16 to 74 in Households,People
CS031S,CS031,Census Area Statistics Table 31,Family Composition and Number of Dependent Children by Economic Activity,CS031: Family Composition and Number of Dependent Children by Economic Activity,All Parents Aged 16 to 74 with Dependent Children,Persons
CS031NI,CS031,Census Area Statistics Table 31,Family Composition and Number of Dependent Children by Economic Activity,CS031: Family Composition and Number of Dependent Children by Economic Activity,All Parents Aged 16 to 74 with Dependent Children,Persons
CS031EW,CS031,Census Area Statistics Table 31,Family Composition and Number of Dependent Children by Economic Activity,CS031: Family Composition and Number of Dependent Children by Economic Activity,All Parents Aged 16 to 74 with Dependent Children,People
CS032S,CS032,Census Area Statistics Table 32,"Sex, Age and Level of Qualifications by Economic Activity","CS032: Sex, Age and Level of Qualifications by Economic Activity",All People Aged 16 to 74,Persons
CS032NI,CS032,Census Area Statistics Table 32,Age and Level of Qualifications by Economic Activity,CS032: Age and Level of Qualifications by Economic Activity,All People Aged 16 to 74,Persons
CS032EW,CS032,Census Area Statistics Table 32,"Sex, Age and Level of Qualifications by Economic Activity","CS032: Sex, Age and Level of Qualifications by Economic Activity",All People Aged 16 to 74,People
CS033S,CS033,Census Area Statistics Table 33,Sex and Occupation by Age,CS033: Sex and Occupation by Age,All People Aged 16 to 74 in Employment the Week Before the Census,Persons
CS033NI,CS033,Census Area Statistics Table 33,Occupation by Age,CS033: Occupation by Age,All People Aged 16 to 74 in Employment the Week Before the Census,Persons
CS033EW,CS033,Census Area Statistics Table 33,Sex and Occupation by Age,CS033: Sex and Occupation by Age,All People Aged 16 to 74 in Employment the Week Before the Census,People
CS034S,CS034,Census Area Statistics Table 34,Former Occupation by Age,CS034: Former Occupation by Age,All People Aged 16 to 64 not in Employment the Week Before the Census,Persons
CS034NI,CS034,Census Area Statistics Table 34,Former Occupation (UK basis),CS034: Former Occupation (UK basis),All People Aged 16 to 64 not in Employment the Week Before the Census,Persons
CS034EW,CS034,Census Area Statistics Table 34,Former Occupation by Age,CS034: Former Occupation by Age,All People Aged 16 to 64 not in Employment the Week Before the Census,People
CS035S,CS035,Census Area Statistics Table 35,Sex and Occupation by Employment Status and Hours Worked,CS035: Sex and Occupation by Employment Status and Hours Worked,All People Aged 16 to 74 in Employment the Week Before the Census,Persons
CS035NI,CS035,Census Area Statistics Table 35,Sex and Occupation by Employment Status and Hours Worked,CS035: Sex and Occupation by Employment Status and Hours Worked,All People Aged 16 to 74 in Employment the Week Before the Census,Persons
CS035EW,CS035,Census Area Statistics Table 35,Sex and Occupation by Employment Status and Hours Worked,CS035: Sex and Occupation by Employment Status and Hours Worked,All People Aged 16 to 74 in Employment the Week Before the Census,People
CS036S,CS036,Census Area Statistics Table 36,Sex and Industry by Age,CS036: Sex and Industry by Age,All People Aged 16 to 74 in Employment the Week Before the Census,Persons
CS036NI,CS036,Census Area Statistics Table 36,Industry by Age,CS036: Industry by Age,All People Aged 16 to 74 in Employment the Week Before the Census,Persons
CS036EW,CS036,Census Area Statistics Table 36,Sex and Industry by Age,CS036: Sex and Industry by Age,All People Aged 16 to 74 in Employment the Week Before the Census,People
CS037S,CS037,Census Area Statistics Table 37,Former Industry by Age,CS037: Former Industry by Age,All People Aged 16 to 64 not in Employment the Week Before the Census,Persons
CS037NI,CS037,Census Area Statistics Table 37,Former Industry (UK basis),CS037: Former Industry (UK basis),All People Aged 16 to 64 not in Employment the Week Before the Census,Persons
CS037EW,CS037,Census Area Statistics Table 37,Former Industry by Age,CS037: Former Industry by Age,All People Aged 16 to 64 not in Employment the Week Before the Census,People
CS038S,CS038,Census Area Statistics Table 38,Sex and Industry by Employment Status and Hours Worked,CS038: Sex and Industry by Employment Status and Hours Worked,All People Aged 16 to 74 in Employment the Week Before the Census,Persons
CS038NI,CS038,Census Area Statistics Table 38,Sex and Industry by Employment Status and Hours Worked,CS038: Sex and Industry by Employment Status and Hours Worked,All People Aged 16 to 74 in Employment the Week Before the Census,Persons
CS038EW,CS038,Census Area Statistics Table 38,Sex and Industry by Employment Status and Hours Worked,CS038: Sex and Industry by Employment Status and Hours Worked,All People Aged 16 to 74 in Employment the Week Before the Census,People
CS039S,CS039,Census Area Statistics Table 39,Occupation by Industry,CS039: Occupation by Industry,All People Aged 16 to 74 in Employment the Week Before the Census,Persons
CS039EW,CS039,Census Area Statistics Table 39,Occupation by Industry,CS039: Occupation by Industry,All People Aged 16 to 74 in Employment the Week Before the Census,People
CS040S,CS040,Census Area Statistics Table 40,Sex and Occupation by Hours Worked,CS040: Sex and Occupation by Hours Worked,All People Aged 16 to 74 in Employment the Week Before the Census,Persons
CS040NI,CS040,Census Area Statistics Table 40,Occupation by Hours Worked,CS040: Occupation by Hours Worked,All People Aged 16 to 74 in Employment the Week Before the Census,Persons
CS040EW,CS040,Census Area Statistics Table 40,Sex and Occupation by Hours Worked,CS040: Sex and Occupation by Hours Worked,All People Aged 16 to 74 in Employment the Week Before the Census,People
CS041S,CS041,Census Area Statistics Table 41,Economic Activity and Time Since Last Worked by Age,CS041: Economic Activity and Time Since Last Worked by Age,All People Aged 16 to 74,Persons
CS041NI,CS041,Census Area Statistics Table 41,Economic Activity and Time Since Last Worked by Age,CS041: Economic Activity and Time Since Last Worked by Age,All People Aged 16 to 74,Persons
CS041EW,CS041,Census Area Statistics Table 41,Economic Activity and Time Since Last Worked by Age,CS041: Economic Activity and Time Since Last Worked by Age,All People Aged 16 to 74,People
CS042S,CS042,Census Area Statistics Table 42,NS-SeC by Age,CS042: NS-SeC by Age,All People Aged 16 to 74,Persons
CS042EW,CS042,Census Area Statistics Table 42,NS-SeC by Age,CS042: NS-SeC by Age,All People Aged 16 to 74,People
CS043S,CS043,Census Area Statistics Table 43,Sex and NS-SeC by Economic Activity,CS043: Sex and NS-SeC by Economic Activity,All People Aged 16 to 74,Persons
CS043EW,CS043,Census Area Statistics Table 43,Sex and NS-SeC by Economic Activity,CS043: Sex and NS-SeC by Economic Activity,All People Aged 16 to 74,People
CS044S,CS044,Census Area Statistics Table 44,NS-SeC of Household Reference Person (HRP) by Household Composition,CS044: NS-SeC of Household Reference Person (HRP) by Household Composition,All HRPs Aged 16 to 74,Persons
CS044EW,CS044,Census Area Statistics Table 44,NS-SeC of Household Reference Person (HRP) by Household Composition,CS044: NS-SeC of Household Reference Person (HRP) by Household Composition,All HRPs Aged 16 to 74,People
CS045S,CS045,Census Area Statistics Table 45,NS-SeC of Household Reference Person (HRP) by Age (of HRP),CS045: NS-SeC of Household Reference Person (HRP) by Age (of HRP),All HRPs Aged 16 to 74,Persons
CS045EW,CS045,Census Area Statistics Table 45,NS-SeC of Household Reference Person (HRP) by Age (of HRP),CS045: NS-SeC of Household Reference Person (HRP) by Age (of HRP),All HRPs Aged 16 to 74,People
CS046S,CS046,Census Area Statistics Table 46,NS-SeC of Household Reference Person (HRP) by Tenure,CS046: NS-SeC of Household Reference Person (HRP) by Tenure,All HRPs Aged 16 to 74,Persons
CS046EW,CS046,Census Area Statistics Table 46,NS-SeC of Household Reference Person (HRP) by Tenure,CS046: NS-SeC of Household Reference Person (HRP) by Tenure,All HRPs Aged 16 to 74,People
CS047S,CS047,Census Area Statistics Table 47,NS-Sec by Tenure,CS047: NS-Sec by Tenure,All People in Households Aged 16 to 74,Persons
CS047EW,CS047,Census Area Statistics Table 47,NS-Sec by Tenure,CS047: NS-Sec by Tenure,All People in Households Aged 16 to 74,People
CS048S,CS048,Census Area Statistics Table 48,Dwelling Type and Accommodation Type by Household Space Type,CS048: Dwelling Type and Accommodation Type by Household Space Type,All Household Spaces. All Dwellings,"Household Spaces, Dwellings"
CS048EW,CS048,Census Area Statistics Table 48,Dwelling Type and Accommodation Type by Household Space Type,CS048: Dwelling Type and Accommodation Type by Household Space Type,All Household Spaces. All Dwellings,"Household Spaces, Dwellings"
CS049S,CS049,Census Area Statistics Table 49,Dwelling Type and Accommodation Type by Tenure (Households and Dwellings),CS049: Dwelling Type and Accommodation Type by Tenure (Households and Dwellings),All Occupied Household Spaces. All Occupied Dwellings,"Household Spaces, Dwellings"
CS049EW,CS049,Census Area Statistics Table 49,Dwelling Type and Accommodation Type by Tenure (Households and Dwellings),CS049: Dwelling Type and Accommodation Type by Tenure (Households and Dwellings),All Occupied Household Spaces. All Occupied Dwellings,"Household Spaces, Dwellings"
CS050S,CS050,Census Area Statistics Table 50,Dwelling Type and Accommodation Type by Tenure (People),CS050: Dwelling Type and Accommodation Type by Tenure (People),All People in Households,Persons
CS050EW,CS050,Census Area Statistics Table 50,Dwelling Type and Accommodation Type by Tenure (People),CS050: Dwelling Type and Accommodation Type by Tenure (People),All People in Households,People
CS051S,CS051,Census Area Statistics Table 51,Tenure and Household Size by Number of Rooms,CS051: Tenure and Household Size by Number of Rooms,All Households,Households
CS051EW,CS051,Census Area Statistics Table 51,Tenure and Household Size by Number of Rooms,CS051: Tenure and Household Size by Number of Rooms,All Households,Households
CS052S,CS052,Census Area Statistics Table 52,Tenure and Persons Per Room by Accommodation Type,CS052: Tenure and Persons Per Room by Accommodation Type,All Households,Households
CS052EW,CS052,Census Area Statistics Table 52,Tenure and Persons Per Room by Accommodation Type,CS052: Tenure and Persons Per Room by Accommodation Type,All Households,Households
CS053S,CS053,Census Area Statistics Table 53,Household Composition by Tenure and Occupancy Rating,CS053: Household Composition by Tenure and Occupancy Rating,All Households,Households
CS053EW,CS053,Census Area Statistics Table 53,Household Composition by Tenure and Occupancy Rating,CS053: Household Composition by Tenure and Occupancy Rating,All Households,Households
CS054S,CS054,Census Area Statistics Table 54,"Shared/Unshared Dwelling, Central Heating and Occupancy Rating by Age","CS054: Shared/Unshared Dwelling, Central Heating and Occupancy Rating by Age",All People in Households,Persons
CS054EW,CS054,Census Area Statistics Table 54,"Shared/Unshared Dwelling, Central Heating and Occupancy Rating by Age","CS054: Shared/Unshared Dwelling, Central Heating and Occupancy Rating by Age",All People in Households,People
CS055S,CS055,Census Area Statistics Table 55,"Dwelling Type, Accommodation Type and Central Heating by Tenure","CS055: Dwelling Type, Accommodation Type and Central Heating by Tenure",All Households,Households
CS055EW,CS055,Census Area Statistics Table 55,"Dwelling Type, Accommodation Type and Central Heating by Tenure","CS055: Dwelling Type, Accommodation Type and Central Heating by Tenure",All Households,Households
CS056S,CS056,Census Area Statistics Table 56,Tenure and Amenities by Household Composition,CS056: Tenure and Amenities by Household Composition,All Households,Households
CS056EW,CS056,Census Area Statistics Table 56,Tenure and Amenities by Household Composition,CS056: Tenure and Amenities by Household Composition,All Households,Households
CS057S,CS057,Census Area Statistics Table 57,Tenure and Lowest Floor Level by Household Composition,CS057: Tenure and Lowest Floor Level by Household Composition,All Households,Households
CS057EW,CS057,Census Area Statistics Table 57,Tenure and Lowest Floor Level by Household Composition,CS057: Tenure and Lowest Floor Level by Household Composition,All Households,Households
CS059S,CS059,Census Area Statistics Table 59,Accommodation Type and Car or Van Availability by Number of People Aged 17 Or Over in the Household,CS059: Accommodation Type and Car or Van Availability by Number of People Aged 17 Or Over in the Household,All Households,Households
CS059NI,CS059,Census Area Statistics Table 59,Accommodation Type and Car or Van Availability by Number of People Aged 17 Or Over in the Household,CS059: Accommodation Type and Car or Van Availability by Number of People Aged 17 Or Over in the Household,All Households,Households
CS059EW,CS059,Census Area Statistics Table 59,Accommodation Type and Car or Van Availability by Number of People Aged 17 Or Over in the Household,CS059: Accommodation Type and Car or Van Availability by Number of People Aged 17 Or Over in the Household,All Households,Households
CS060S,CS060,Census Area Statistics Table 60,Tenure and Car or Van Availability by Number of People Aged 17 Or Over in the Household,CS060: Tenure and Car or Van Availability by Number of People Aged 17 Or Over in the Household,All Households,Households
CS060EW,CS060,Census Area Statistics Table 60,Tenure and Car or Van Availability by Number of People Aged 17 Or Over in the Household,CS060: Tenure and Car or Van Availability by Number of People Aged 17 Or Over in the Household,All Households,Households
CS061S,CS061,Census Area Statistics Table 61,Tenure and Car or Van Availability by Economic Activity,CS061: Tenure and Car or Van Availability by Economic Activity,All People Aged 16 to 74 in Households,Persons
CS061EW,CS061,Census Area Statistics Table 61,Tenure and Car or Van Availability by Economic Activity,CS061: Tenure and Car or Van Availability by Economic Activity,All People Aged 16 to 74 in Households,People
CS062S,CS062,Census Area Statistics Table 62,Household Composition by Number of Cars or Vans Available,CS062: Household Composition by Number of Cars or Vans Available,All Households,Households
CS062NI,CS062,Census Area Statistics Table 62,Household Composition by Number of Cars or Vans Available,CS062: Household Composition by Number of Cars or Vans Available,All Households,Households
CS062EW,CS062,Census Area Statistics Table 62,Household Composition by Number of Cars or Vans Available,CS062: Household Composition by Number of Cars or Vans Available,All Households,Households
CS063S,CS063,Census Area Statistics Table 63,Economic Activity and Age of Full-Time Students by Household Type,CS063: Economic Activity and Age of Full-Time Students by Household Type,All Full-Time Students and Schoolchildren at their Term-Time Address,Persons
CS063EW,CS063,Census Area Statistics Table 63,Economic Activity and Age of Full-Time Students by Household Type,CS063: Economic Activity and Age of Full-Time Students by Household Type,All Full-Time Students and Schoolchildren at their Term-Time Address,People
CS064S,CS064,Census Area Statistics Table 064,Households with Full Time Students Away from Home and Age of Student by Number of Students,CS064: Households with Full Time Students Away from Home and Age of Student by Number of Students,All Households with FT Students and Schoolchildren Living Away From Home During Term Time,"Persons; Students, Schoolchildren"
CS064EW,CS064,Census Area Statistics Table 64,Households with Full-Time Students Away from Home and Age of Student by Number of Students,CS064: Households with Full-Time Students Away from Home and Age of Student by Number of Students,All Households with Full-Time Students and Schoolchildren Living Away from Home During Term-Time,Households
