"geography_code","description","geography_groupings"
"02AYFB01",,Enumeration district
"02AYFB02",,Enumeration district
"02AYFB03",,Enumeration district
"02AYFB04",,Enumeration district
"02AYFB05",,Enumeration district
"02AYFB06",,Enumeration district
"02AYFB07",,Enumeration district
"02AYFB08",,Enumeration district
"02AYFB09",,Enumeration district
"02AYFB10",,Enumeration district
"02AYFB11",,Enumeration district
"02AYFB12",,Enumeration district
"02AYFB13",,Enumeration district
"02AYFB14",,Enumeration district
"02AYFB15",,Enumeration district
"02AYFB16",,Enumeration district
"02AYFB17",,Enumeration district
"02AYFB18",,Enumeration district
"02AYFC01",,Enumeration district
"02AYFC02",,Enumeration district
"02AYFC03",,Enumeration district
"02AYFC04",,Enumeration district
"02AYFC05",,Enumeration district
"02AYFC06",,Enumeration district
"02AYFC07",,Enumeration district
"02AYFC08",,Enumeration district
"02AYFC09",,Enumeration district
"02AYFC10",,Enumeration district
"02AYFC11",,Enumeration district
"02AYFC12",,Enumeration district
"02AYFC13",,Enumeration district
"02AYFC14",,Enumeration district
"02AYFC15",,Enumeration district
"02AYFC16",,Enumeration district
"02AYFC17",,Enumeration district
"02AYFC18",,Enumeration district
"02AYFC19",,Enumeration district
"02AYFC20",,Enumeration district
"02AYFD01",,Enumeration district
"02AYFD02",,Enumeration district
"02AYFD03",,Enumeration district
"02AYFD04",,Enumeration district
"02AYFD05",,Enumeration district
"02AYFD06",,Enumeration district
"02AYFD07",,Enumeration district
"02AYFD08",,Enumeration district
"02AYFD09",,Enumeration district
"02AYFD10",,Enumeration district
"02AYFD11",,Enumeration district
"02AYFD12",,Enumeration district
"02AYFD13",,Enumeration district
"02AYFD14",,Enumeration district
"02AYFE01",,Enumeration district
"02AYFE02",,Enumeration district
"02AYFE03",,Enumeration district
"02AYFE04",,Enumeration district
"02AYFE05",,Enumeration district
"02AYFE06",,Enumeration district
"02AYFE07",,Enumeration district
"02AYFE08",,Enumeration district
"02AYFE09",,Enumeration district
"02AYFE10",,Enumeration district
"02AYFE11",,Enumeration district
"02AYFE12",,Enumeration district
"02AYFE13",,Enumeration district
"02AYFE14",,Enumeration district
"02AYFE15",,Enumeration district
"02AYFE16",,Enumeration district
"02AYFE17",,Enumeration district
"02AYFE18",,Enumeration district
"02AYFE19",,Enumeration district
"02AYFE20",,Enumeration district
"02AYFF01",,Enumeration district
"02AYFF02",,Enumeration district
"02AYFF03",,Enumeration district
"02AYFF04",,Enumeration district
"02AYFF05",,Enumeration district
"02AYFF06",,Enumeration district
"02AYFF07",,Enumeration district
"02AYFF08",,Enumeration district
"02AYFF09",,Enumeration district
"02AYFF10",,Enumeration district
"02AYFF11",,Enumeration district
"02AYFF12",,Enumeration district
"02AYFF13",,Enumeration district
"02AYFF14",,Enumeration district
"02AYFF15",,Enumeration district
"02AYFF16",,Enumeration district
"02AYFF17",,Enumeration district
"02AYFG01",,Enumeration district
"02AYFG02",,Enumeration district
"02AYFG03",,Enumeration district
"02AYFG04",,Enumeration district
"02AYFG05",,Enumeration district
"02AYFG06",,Enumeration district
"02AYFG07",,Enumeration district
"02AYFG08",,Enumeration district
"02AYFG09",,Enumeration district
"02AYFG10",,Enumeration district
"02AYFG11",,Enumeration district
"02AYFG12",,Enumeration district
"02AYFG13",,Enumeration district
"02AYFG14",,Enumeration district
"02AYFG15",,Enumeration district
"02AYFG16",,Enumeration district
"02AYFG17",,Enumeration district
"02AYFG18",,Enumeration district
"02AYFG19",,Enumeration district
"02AYFH01",,Enumeration district
"02AYFH02",,Enumeration district
"02AYFH03",,Enumeration district
"02AYFH04",,Enumeration district
"02AYFH05",,Enumeration district
"02AYFH06",,Enumeration district
"02AYFH07",,Enumeration district
"02AYFH08",,Enumeration district
"02AYFH09",,Enumeration district
"02AYFH10",,Enumeration district
"02AYFH11",,Enumeration district
"02AYFH12",,Enumeration district
"02AYFH13",,Enumeration district
"02AYFH14",,Enumeration district
"02AYFH15",,Enumeration district
"02AYFH16",,Enumeration district
"02AYFJ01",,Enumeration district
"02AYFJ02",,Enumeration district
"02AYFJ03",,Enumeration district
"02AYFJ04",,Enumeration district
"02AYFJ05",,Enumeration district
"02AYFJ06",,Enumeration district
"02AYFJ07",,Enumeration district
"02AYFJ08",,Enumeration district
"02AYFJ09",,Enumeration district
"02AYFJ10",,Enumeration district
"02AYFJ11",,Enumeration district
"02AYFJ12",,Enumeration district
"02AYFJ13",,Enumeration district
"02AYFJ14",,Enumeration district
"02AYFJ15",,Enumeration district
"02AYFJ16",,Enumeration district
"02AYFK01",,Enumeration district
"02AYFK02",,Enumeration district
"02AYFK03",,Enumeration district
"02AYFK04",,Enumeration district
"02AYFK05",,Enumeration district
"02AYFK06",,Enumeration district
"02AYFK07",,Enumeration district
"02AYFK08",,Enumeration district
"02AYFK09",,Enumeration district
"02AYFK10",,Enumeration district
"02AYFK11",,Enumeration district
"02AYFK12",,Enumeration district
"02AYFK13",,Enumeration district
"02AYFK14",,Enumeration district
"02AYFK15",,Enumeration district
"02AYFK16",,Enumeration district
"02AYFL01",,Enumeration district
"02AYFL02",,Enumeration district
"02AYFL03",,Enumeration district
"02AYFL04",,Enumeration district
"02AYFL05",,Enumeration district
"02AYFL06",,Enumeration district
"02AYFL07",,Enumeration district
"02AYFL08",,Enumeration district
"02AYFL09",,Enumeration district
"02AYFL10",,Enumeration district
"02AYFL11",,Enumeration district
"02AYFL12",,Enumeration district
"02AYFL13",,Enumeration district
"02AYFL14",,Enumeration district
"02AYFL15",,Enumeration district
"02AYFL16",,Enumeration district
"02AYFL17",,Enumeration district
"02AYFL18",,Enumeration district
"02AYFM01",,Enumeration district
"02AYFM02",,Enumeration district
"02AYFM03",,Enumeration district
"02AYFM04",,Enumeration district
"02AYFM05",,Enumeration district
"02AYFM06",,Enumeration district
"02AYFM07",,Enumeration district
"02AYFM08",,Enumeration district
"02AYFM09",,Enumeration district
"02AYFM10",,Enumeration district
"02AYFM11",,Enumeration district
"02AYFM12",,Enumeration district
"02AYFM13",,Enumeration district
"02AYFM14",,Enumeration district
"02AYFM15",,Enumeration district
"02AYFM16",,Enumeration district
"02AYFM17",,Enumeration district
"02AYFN01",,Enumeration district
"02AYFN02",,Enumeration district
"02AYFN03",,Enumeration district
"02AYFN04",,Enumeration district
"02AYFN05",,Enumeration district
"02AYFN06",,Enumeration district
"02AYFN07",,Enumeration district
"02AYFN08",,Enumeration district
"02AYFN09",,Enumeration district
"02AYFN10",,Enumeration district
"02AYFN11",,Enumeration district
"02AYFN12",,Enumeration district
"02AYFN13",,Enumeration district
"02AYFN14",,Enumeration district
"02AYFN15",,Enumeration district
"02AYFN16",,Enumeration district
"02AYFN17",,Enumeration district
"02AYFP01",,Enumeration district
"02AYFP02",,Enumeration district
"02AYFP03",,Enumeration district
"02AYFP04",,Enumeration district
"02AYFP05",,Enumeration district
"02AYFP06",,Enumeration district
"02AYFP07",,Enumeration district
"02AYFP08",,Enumeration district
"02AYFP09",,Enumeration district
"02AYFP10",,Enumeration district
"02AYFP11",,Enumeration district
"02AYFP12",,Enumeration district
"02AYFP13",,Enumeration district
"02AYFP14",,Enumeration district
"02AYFP15",,Enumeration district
"02AYFP16",,Enumeration district
"02AYFQ01",,Enumeration district
"02AYFQ02",,Enumeration district
"02AYFQ03",,Enumeration district
"02AYFQ04",,Enumeration district
"02AYFQ05",,Enumeration district
"02AYFQ06",,Enumeration district
"02AYFQ07",,Enumeration district
"02AYFQ08",,Enumeration district
"02AYFQ09",,Enumeration district
"02AYFQ10",,Enumeration district
"02AYFQ11",,Enumeration district
"02AYFQ12",,Enumeration district
"02AYFQ13",,Enumeration district
"02AYFQ14",,Enumeration district
"02AYFQ15",,Enumeration district
"02AYFQ16",,Enumeration district
"02AYFQ17",,Enumeration district
"02AYFQ18",,Enumeration district
"02AYFR01",,Enumeration district
"02AYFR02",,Enumeration district
"02AYFR03",,Enumeration district
"02AYFR04",,Enumeration district
"02AYFR05",,Enumeration district
"02AYFR06",,Enumeration district
"02AYFR07",,Enumeration district
"02AYFR08",,Enumeration district
"02AYFR09",,Enumeration district
"02AYFR10",,Enumeration district
"02AYFR11",,Enumeration district
"02AYFR12",,Enumeration district
"02AYFR13",,Enumeration district
"02AYFR14",,Enumeration district
"02AYFR15",,Enumeration district
"02AYFS01",,Enumeration district
"02AYFS02",,Enumeration district
"02AYFS03",,Enumeration district
"02AYFS04",,Enumeration district
"02AYFS05",,Enumeration district
"02AYFS06",,Enumeration district
"02AYFS07",,Enumeration district
"02AYFS08",,Enumeration district
"02AYFS09",,Enumeration district
"02AYFS10",,Enumeration district
"02AYFS11",,Enumeration district
"02AYFS12",,Enumeration district
"02AYFS13",,Enumeration district
"02AYFS14",,Enumeration district
"02AYFS15",,Enumeration district
"02AYFS16",,Enumeration district
"02AYFT01",,Enumeration district
"02AYFT02",,Enumeration district
"02AYFT03",,Enumeration district
"02AYFT04",,Enumeration district
"02AYFT05",,Enumeration district
"02AYFT06",,Enumeration district
"02AYFT07",,Enumeration district
"02AYFT08",,Enumeration district
"02AYFT09",,Enumeration district
"02AYFT10",,Enumeration district
"02AYFT11",,Enumeration district
"02AYFT12",,Enumeration district
"02AYFT13",,Enumeration district
"02AYFT14",,Enumeration district
"02AYFT15",,Enumeration district
"02AYFU01",,Enumeration district
"02AYFU02",,Enumeration district
"02AYFU03",,Enumeration district
"02AYFU04",,Enumeration district
"02AYFU05",,Enumeration district
"02AYFU06",,Enumeration district
"02AYFU07",,Enumeration district
"02AYFU08",,Enumeration district
"02AYFU09",,Enumeration district
"02AYFU10",,Enumeration district
"02AYFU11",,Enumeration district
"02AYFU12",,Enumeration district
"02AYFU13",,Enumeration district
"02AYFU14",,Enumeration district
"02AYFU15",,Enumeration district
"02AYFU16",,Enumeration district
"02AYFU17",,Enumeration district
"02AYFU18",,Enumeration district
"02AYFU19",,Enumeration district
"02AYFU20",,Enumeration district
"02AYFU21",,Enumeration district
"02AYFW01",,Enumeration district
"02AYFW02",,Enumeration district
"02AYFW03",,Enumeration district
"02AYFW04",,Enumeration district
"02AYFW05",,Enumeration district
"02AYFW06",,Enumeration district
"02AYFW07",,Enumeration district
"02AYFW08",,Enumeration district
"02AYFW09",,Enumeration district
"02AYFW10",,Enumeration district
"02AYFW11",,Enumeration district
"02AYFW12",,Enumeration district
"02AYFW13",,Enumeration district
"02AYFW14",,Enumeration district
"02AYFW15",,Enumeration district
"02AYFW16",,Enumeration district
"02AYFW17",,Enumeration district
"02AYFX01",,Enumeration district
"02AYFX02",,Enumeration district
"02AYFX03",,Enumeration district
"02AYFX04",,Enumeration district
"02AYFX05",,Enumeration district
"02AYFX06",,Enumeration district
"02AYFX07",,Enumeration district
"02AYFX08",,Enumeration district
"02AYFX09",,Enumeration district
"02AYFX10",,Enumeration district
"02AYFX11",,Enumeration district
"02AYFX12",,Enumeration district
"02AYFX13",,Enumeration district
"02AYFX14",,Enumeration district
"02AYFX15",,Enumeration district
"02AYFX16",,Enumeration district
"02AYFX17",,Enumeration district
"02AYFX18",,Enumeration district
"02AYFY01",,Enumeration district
"02AYFY02",,Enumeration district
"02AYFY03",,Enumeration district
"02AYFY04",,Enumeration district
"02AYFY05",,Enumeration district
"02AYFY06",,Enumeration district
"02AYFY07",,Enumeration district
"02AYFY08",,Enumeration district
"02AYFY09",,Enumeration district
"02AYFY10",,Enumeration district
"02AYFY11",,Enumeration district
"02AYFY12",,Enumeration district
"02AYFY13",,Enumeration district
"02AYFY14",,Enumeration district
"02AYFY15",,Enumeration district
"02AYFY16",,Enumeration district
"02AYFY17",,Enumeration district
"02AYFZ01",,Enumeration district
"02AYFZ02",,Enumeration district
"02AYFZ03",,Enumeration district
"02AYFZ04",,Enumeration district
"02AYFZ05",,Enumeration district
"02AYFZ06",,Enumeration district
"02AYFZ07",,Enumeration district
"02AYFZ08",,Enumeration district
"02AYFZ09",,Enumeration district
"02AYFZ10",,Enumeration district
"02AYFZ11",,Enumeration district
"02AYFZ12",,Enumeration district
"02AYFZ13",,Enumeration district
"02AYFZ14",,Enumeration district
"02AYFZ15",,Enumeration district
"02AYFZ16",,Enumeration district
"02AYFZ17",,Enumeration district
"02AYGA01",,Enumeration district
"02AYGA02",,Enumeration district
"02AYGA03",,Enumeration district
"02AYGA04",,Enumeration district
"02AYGA05",,Enumeration district
"02AYGA06",,Enumeration district
"02AYGA07",,Enumeration district
"02AYGA08",,Enumeration district
"02AYGA09",,Enumeration district
"02AYGA10",,Enumeration district
"02AYGA11",,Enumeration district
"02AYGA12",,Enumeration district
"02AYGA13",,Enumeration district
"02AYGA14",,Enumeration district
"02AYGA15",,Enumeration district
"02AYGA16",,Enumeration district
"02AYGA17",,Enumeration district
"02AYGB01",,Enumeration district
"02AYGB02",,Enumeration district
"02AYGB03",,Enumeration district
"02AYGB04",,Enumeration district
"02AYGB05",,Enumeration district
"02AYGB06",,Enumeration district
"02AYGB07",,Enumeration district
"02AYGB08",,Enumeration district
"02AYGB09",,Enumeration district
"02AYGB10",,Enumeration district
"02AYGB11",,Enumeration district
"02AYGB12",,Enumeration district
"02AYGB13",,Enumeration district
"02AYGB14",,Enumeration district
"02AYGB15",,Enumeration district
"02AYGB16",,Enumeration district
"02AYGB17",,Enumeration district
"02AYGB18",,Enumeration district
"02AYGB19",,Enumeration district
"02AYGC01",,Enumeration district
"02AYGC02",,Enumeration district
"02AYGC03",,Enumeration district
"02AYGC04",,Enumeration district
"02AYGC05",,Enumeration district
"02AYGC06",,Enumeration district
"02AYGC07",,Enumeration district
"02AYGC08",,Enumeration district
"02AYGC09",,Enumeration district
"02AYGC10",,Enumeration district
"02AYGC11",,Enumeration district
"02AYGC12",,Enumeration district
"02AYGC13",,Enumeration district
"02AYGC14",,Enumeration district
"02AYGD01",,Enumeration district
"02AYGD02",,Enumeration district
"02AYGD03",,Enumeration district
"02AYGD04",,Enumeration district
"02AYGD05",,Enumeration district
"02AYGD06",,Enumeration district
"02AYGD07",,Enumeration district
"02AYGD08",,Enumeration district
"02AYGD09",,Enumeration district
"02AYGD10",,Enumeration district
"02AYGD11",,Enumeration district
"02AYGD12",,Enumeration district
"02AYGD13",,Enumeration district
"02AYGD14",,Enumeration district
"02AYGD15",,Enumeration district
"02AYGD16",,Enumeration district
"02AYGD17",,Enumeration district
"02AYGD18",,Enumeration district
"02AYGD19",,Enumeration district
"02AYGE01",,Enumeration district
"02AYGE02",,Enumeration district
"02AYGE03",,Enumeration district
"02AYGE04",,Enumeration district
"02AYGE05",,Enumeration district
"02AYGE06",,Enumeration district
"02AYGE07",,Enumeration district
"02AYGE08",,Enumeration district
"02AYGE09",,Enumeration district
"02AYGE10",,Enumeration district
"02AYGE11",,Enumeration district
"02AYGE12",,Enumeration district
"02AYGE13",,Enumeration district
"02AYGE14",,Enumeration district
"02AYGE15",,Enumeration district
"02AYGE16",,Enumeration district
"02AYGE17",,Enumeration district
"02AYGE18",,Enumeration district
"02AYGE19",,Enumeration district
"02AYGE20",,Enumeration district
"02AYGF01",,Enumeration district
"02AYGF02",,Enumeration district
"02AYGF03",,Enumeration district
"02AYGF04",,Enumeration district
"02AYGF05",,Enumeration district
"02AYGF06",,Enumeration district
"02AYGF07",,Enumeration district
"02AYGF08",,Enumeration district
"02AYGF09",,Enumeration district
"02AYGF10",,Enumeration district
"02AYGF11",,Enumeration district
"02AYGF12",,Enumeration district
"02AYGF13",,Enumeration district
"02AYGF14",,Enumeration district
"02AYGF15",,Enumeration district
"02AYGF16",,Enumeration district
"02AYGF17",,Enumeration district
"02AYGG01",,Enumeration district
"02AYGG02",,Enumeration district
"02AYGG03",,Enumeration district
"02AYGG04",,Enumeration district
"02AYGG05",,Enumeration district
"02AYGG06",,Enumeration district
"02AYGG07",,Enumeration district
"02AYGG08",,Enumeration district
"02AYGG09",,Enumeration district
"02AYGG10",,Enumeration district
"02AYGG11",,Enumeration district
"02AYGG12",,Enumeration district
"02AYGG13",,Enumeration district
"02AYGG14",,Enumeration district
"02AYGG15",,Enumeration district
"02AYGG16",,Enumeration district
"02AYGH01",,Enumeration district
"02AYGH02",,Enumeration district
"02AYGH03",,Enumeration district
"02AYGH04",,Enumeration district
"02AYGH05",,Enumeration district
"02AYGH06",,Enumeration district
"02AYGH07",,Enumeration district
"02AYGH08",,Enumeration district
"02AYGH09",,Enumeration district
"02AYGH10",,Enumeration district
"02AYGH11",,Enumeration district
"02AYGH12",,Enumeration district
"02AYGH13",,Enumeration district
"02AYGH14",,Enumeration district
"02AYGH15",,Enumeration district
"02AYGH16",,Enumeration district
"02AYGH17",,Enumeration district
"02AYGJ01",,Enumeration district
"02AYGJ02",,Enumeration district
"02AYGJ03",,Enumeration district
"02AYGJ04",,Enumeration district
"02AYGJ05",,Enumeration district
"02AYGJ06",,Enumeration district
"02AYGJ07",,Enumeration district
"02AYGJ08",,Enumeration district
"02AYGJ09",,Enumeration district
"02AYGJ10",,Enumeration district
"02AYGJ11",,Enumeration district
"02AYGJ12",,Enumeration district
"02AYGJ13",,Enumeration district
"02AYGJ14",,Enumeration district
"02AYGJ15",,Enumeration district
"02AYGK01",,Enumeration district
"02AYGK02",,Enumeration district
"02AYGK03",,Enumeration district
"02AYGK04",,Enumeration district
"02AYGK05",,Enumeration district
"02AYGK06",,Enumeration district
"02AYGK07",,Enumeration district
"02AYGK08",,Enumeration district
"02AYGK09",,Enumeration district
"02AYGK10",,Enumeration district
"02AYGK11",,Enumeration district
"02AYGK12",,Enumeration district
"02AYGK13",,Enumeration district
"02AYGK14",,Enumeration district
"02AYGK15",,Enumeration district
"02AYGK16",,Enumeration district
"02AYSS01",,Enumeration district
"02AZFA01",,Enumeration district
"02AZFA02",,Enumeration district
"02AZFA03",,Enumeration district
"02AZFA04",,Enumeration district
"02AZFA05",,Enumeration district
"02AZFA06",,Enumeration district
"02AZFA07",,Enumeration district
"02AZFA08",,Enumeration district
"02AZFA09",,Enumeration district
"02AZFA10",,Enumeration district
"02AZFA11",,Enumeration district
"02AZFA12",,Enumeration district
"02AZFA13",,Enumeration district
"02AZFA14",,Enumeration district
"02AZFA15",,Enumeration district
"02AZFB01",,Enumeration district
"02AZFB02",,Enumeration district
"02AZFB03",,Enumeration district
"02AZFB04",,Enumeration district
"02AZFB05",,Enumeration district
"02AZFB06",,Enumeration district
"02AZFB07",,Enumeration district
"02AZFB08",,Enumeration district
"02AZFB09",,Enumeration district
"02AZFC01",,Enumeration district
"02AZFC02",,Enumeration district
"02AZFC03",,Enumeration district
"02AZFC04",,Enumeration district
"02AZFC05",,Enumeration district
"02AZFC06",,Enumeration district
"02AZFC07",,Enumeration district
"02AZFD01",,Enumeration district
"02AZFD02",,Enumeration district
"02AZFD03",,Enumeration district
"02AZFD04",,Enumeration district
"02AZFD05",,Enumeration district
"02AZFD06",,Enumeration district
"02AZFD07",,Enumeration district
"02AZFD08",,Enumeration district
"02AZFD09",,Enumeration district
"02AZFD10",,Enumeration district
"02AZFD11",,Enumeration district
"02AZFD12",,Enumeration district
"02AZFD13",,Enumeration district
"02AZFD14",,Enumeration district
"02AZFD15",,Enumeration district
"02AZFE01",,Enumeration district
"02AZFE02",,Enumeration district
"02AZFE03",,Enumeration district
"02AZFE04",,Enumeration district
"02AZFE05",,Enumeration district
"02AZFE06",,Enumeration district
"02AZFE07",,Enumeration district
"02AZFE08",,Enumeration district
"02AZFF01",,Enumeration district
"02AZFF02",,Enumeration district
"02AZFF03",,Enumeration district
"02AZFF04",,Enumeration district
"02AZFF05",,Enumeration district
"02AZFF06",,Enumeration district
"02AZFF07",,Enumeration district
"02AZFF08",,Enumeration district
"02AZFF09",,Enumeration district
"02AZFF10",,Enumeration district
"02AZFF11",,Enumeration district
"02AZFF12",,Enumeration district
"02AZFF13",,Enumeration district
"02AZFG01",,Enumeration district
"02AZFG02",,Enumeration district
"02AZFG03",,Enumeration district
"02AZFG04",,Enumeration district
"02AZFG05",,Enumeration district
"02AZFG06",,Enumeration district
"02AZFG07",,Enumeration district
"02AZFG08",,Enumeration district
"02AZFG09",,Enumeration district
"02AZFG10",,Enumeration district
"02AZFG11",,Enumeration district
"02AZFH01",,Enumeration district
"02AZFH02",,Enumeration district
"02AZFH03",,Enumeration district
"02AZFH04",,Enumeration district
"02AZFH05",,Enumeration district
"02AZFH06",,Enumeration district
"02AZFJ01",,Enumeration district
"02AZFJ02",,Enumeration district
"02AZFJ03",,Enumeration district
"02AZFJ04",,Enumeration district
"02AZFJ05",,Enumeration district
"02AZFJ06",,Enumeration district
"02AZFJ07",,Enumeration district
"02AZFJ08",,Enumeration district
"02AZFJ09",,Enumeration district
"02AZFJ10",,Enumeration district
"02AZFJ11",,Enumeration district
"02AZFJ12",,Enumeration district
"02AZFJ13",,Enumeration district
"02AZFJ14",,Enumeration district
"02AZFK01",,Enumeration district
"02AZFK02",,Enumeration district
"02AZFK03",,Enumeration district
"02AZFK04",,Enumeration district
"02AZFK05",,Enumeration district
"02AZFK06",,Enumeration district
"02AZFK07",,Enumeration district
"02AZFK08",,Enumeration district
"02AZFK09",,Enumeration district
"02AZFK10",,Enumeration district
"02AZFK11",,Enumeration district
"02AZFK12",,Enumeration district
"02AZFK13",,Enumeration district
"02AZFL01",,Enumeration district
"02AZFL02",,Enumeration district
"02AZFL03",,Enumeration district
"02AZFL04",,Enumeration district
"02AZFL05",,Enumeration district
"02AZFL06",,Enumeration district
"02AZFL07",,Enumeration district
"02AZFL08",,Enumeration district
"02AZFL09",,Enumeration district
"02AZFL10",,Enumeration district
"02AZFL11",,Enumeration district
"02AZFL12",,Enumeration district
"02AZFL13",,Enumeration district
"02AZFL14",,Enumeration district
"02AZFM01",,Enumeration district
"02AZFM03",,Enumeration district
"02AZFM04",,Enumeration district
"02AZFM05",,Enumeration district
"02AZFM06",,Enumeration district
"02AZFM07",,Enumeration district
"02AZFM08",,Enumeration district
"02AZFM09",,Enumeration district
"02AZFM10",,Enumeration district
"02AZFM11",,Enumeration district
"02AZFM12",,Enumeration district
"02AZFM13",,Enumeration district
"02AZFM14",,Enumeration district
"02AZFM15",,Enumeration district
"02AZFM16",,Enumeration district
"02AZFM17",,Enumeration district
"02AZFM18",,Enumeration district
"02AZFN01",,Enumeration district
"02AZFN02",,Enumeration district
"02AZFN03",,Enumeration district
"02AZFN04",,Enumeration district
"02AZFN05",,Enumeration district
"02AZFN06",,Enumeration district
"02AZFN07",,Enumeration district
"02AZFN08",,Enumeration district
"02AZFN09",,Enumeration district
"02AZFN10",,Enumeration district
"02AZFN11",,Enumeration district
"02AZFN12",,Enumeration district
"02AZFN13",,Enumeration district
"02AZFN14",,Enumeration district
"02AZFN15",,Enumeration district
"02AZFP01",,Enumeration district
"02AZFP02",,Enumeration district
"02AZFP03",,Enumeration district
"02AZFP04",,Enumeration district
"02AZFP05",,Enumeration district
"02AZFP06",,Enumeration district
"02AZFP07",,Enumeration district
"02AZFP08",,Enumeration district
"02AZFP09",,Enumeration district
"02AZFP10",,Enumeration district
"02AZFP11",,Enumeration district
"02AZFP12",,Enumeration district
"02AZFP13",,Enumeration district
"02AZFQ01",,Enumeration district
"02AZFQ02",,Enumeration district
"02AZFQ03",,Enumeration district
"02AZFQ04",,Enumeration district
"02AZFQ05",,Enumeration district
"02AZFQ06",,Enumeration district
"02AZFQ07",,Enumeration district
"02AZFQ08",,Enumeration district
"02AZFQ09",,Enumeration district
"02AZFQ10",,Enumeration district
"02AZFQ11",,Enumeration district
"02AZFQ12",,Enumeration district
"02AZFQ13",,Enumeration district
"02AZFR01",,Enumeration district
"02AZFR02",,Enumeration district
"02AZFR03",,Enumeration district
"02AZFR04",,Enumeration district
"02AZFR05",,Enumeration district
"02AZFR06",,Enumeration district
"02AZFR07",,Enumeration district
"02AZFR08",,Enumeration district
"02AZFR09",,Enumeration district
"02AZFR10",,Enumeration district
"02AZFR11",,Enumeration district
"02AZFR12",,Enumeration district
"02AZFR13",,Enumeration district
"02AZFS01",,Enumeration district
"02AZFS02",,Enumeration district
"02AZFS03",,Enumeration district
"02AZFS04",,Enumeration district
"02AZFS05",,Enumeration district
"02AZFS06",,Enumeration district
"02AZFS07",,Enumeration district
"02AZFS08",,Enumeration district
"02AZFS09",,Enumeration district
"02AZFS10",,Enumeration district
"02AZFS11",,Enumeration district
"02AZFS12",,Enumeration district
"02AZFS13",,Enumeration district
"02AZFT01",,Enumeration district
"02AZFT02",,Enumeration district
"02AZFT03",,Enumeration district
"02AZFT04",,Enumeration district
"02AZFT05",,Enumeration district
"02AZFT06",,Enumeration district
"02AZFT07",,Enumeration district
"02AZFT08",,Enumeration district
"02AZFT09",,Enumeration district
"02AZFT10",,Enumeration district
"02AZFT11",,Enumeration district
"02AZFT12",,Enumeration district
"02AZFT13",,Enumeration district
"02AZFT14",,Enumeration district
"02AZFU01",,Enumeration district
"02AZFU02",,Enumeration district
"02AZFU03",,Enumeration district
"02AZFU04",,Enumeration district
"02AZFU05",,Enumeration district
"02AZFU06",,Enumeration district
"02AZFU07",,Enumeration district
"02AZFU08",,Enumeration district
"02AZFW01",,Enumeration district
"02AZFW02",,Enumeration district
"02AZFW03",,Enumeration district
"02AZFW04",,Enumeration district
"02AZFW05",,Enumeration district
"02AZFW06",,Enumeration district
"02AZFW07",,Enumeration district
"02AZFW08",,Enumeration district
"02AZFX01",,Enumeration district
"02AZFX02",,Enumeration district
"02AZFX03",,Enumeration district
"02AZFX04",,Enumeration district
"02AZFX05",,Enumeration district
"02AZFX06",,Enumeration district
"02AZFX07",,Enumeration district
"02AZFY01",,Enumeration district
"02AZFY02",,Enumeration district
"02AZFY03",,Enumeration district
"02AZFY04",,Enumeration district
"02AZFY05",,Enumeration district
"02AZFY06",,Enumeration district
"02AZFY07",,Enumeration district
"02AZFY08",,Enumeration district
"02AZFY09",,Enumeration district
"02AZFY10",,Enumeration district
"02AZFY11",,Enumeration district
"02AZFY12",,Enumeration district
"02AZFY13",,Enumeration district
"02AZFY14",,Enumeration district
"02AZFY15",,Enumeration district
"02AZFZ01",,Enumeration district
"02AZFZ02",,Enumeration district
"02AZFZ03",,Enumeration district
"02AZFZ04",,Enumeration district
"02AZFZ05",,Enumeration district
"02AZFZ06",,Enumeration district
"02AZFZ07",,Enumeration district
"02AZFZ08",,Enumeration district
"02AZFZ09",,Enumeration district
"02AZFZ10",,Enumeration district
"02AZFZ11",,Enumeration district
"02AZFZ12",,Enumeration district
"02AZFZ13",,Enumeration district
"02AZFZ14",,Enumeration district
"02AZFZ15",,Enumeration district
"02AZFZ16",,Enumeration district
"02AZFZ17",,Enumeration district
"02AZFZ18",,Enumeration district
"02AZGA01",,Enumeration district
"02AZGA02",,Enumeration district
"02AZGA03",,Enumeration district
"02AZGA04",,Enumeration district
"02AZGA05",,Enumeration district
"02AZGA06",,Enumeration district
"02AZGA07",,Enumeration district
"02AZGA08",,Enumeration district
"02AZGA09",,Enumeration district
"02AZGA10",,Enumeration district
"02AZGA11",,Enumeration district
"02AZGA12",,Enumeration district
"02AZGA13",,Enumeration district
"02AZGA14",,Enumeration district
"02AZGA15",,Enumeration district
"02AZGA16",,Enumeration district
"02AZGB01",,Enumeration district
"02AZGB02",,Enumeration district
"02AZGB03",,Enumeration district
"02AZGB04",,Enumeration district
"02AZGB05",,Enumeration district
"02AZGB06",,Enumeration district
"02AZGB07",,Enumeration district
"02AZGB08",,Enumeration district
"02AZGB09",,Enumeration district
"02AZGB10",,Enumeration district
"02AZGB11",,Enumeration district
"02AZGB12",,Enumeration district
"02AZGB13",,Enumeration district
"02AZGB14",,Enumeration district
"02AZGC01",,Enumeration district
"02AZGC02",,Enumeration district
"02AZGC03",,Enumeration district
"02AZGC04",,Enumeration district
"02AZGC05",,Enumeration district
"02AZGC06",,Enumeration district
"02AZGC07",,Enumeration district
"02AZGC08",,Enumeration district
"02AZGC09",,Enumeration district
