zoneid,ward_code,year,TOTAL_RES_1981,TOTAL_MALE_1981,TOTAL_FEMALE_1981,FAR_EAST_BORN_1981,FAR_EAST_BORN_MALE_1981,FAR_EAST_BORN_FEMALE_1981,PCT_FAR_EAST_BORN_1981,TOTAL_HH_1981,OWNER_OCC_HH_1981,COUNCIL_HH_1981,NO_CAR_HH_1981,OVERCROWD_GT1P5_1981,OVERCROWD_1TO1P5_1981,NO_BATH_WC_1981,NO_INSIDE_BATH_WC_1981,PCT_OWNER_OCC_1981,PCT_COUNCIL_1981,PCT_NO_CAR_1981,PCT_OVERCROWD_GT1P5_1981,PCT_OVERCROWD_1TO1P5_1981,PCT_NO_BATH_WC_1981,PCT_NO_INSIDE_BATH_WC_1981,EMPLOYED_1981,UNEMPLOYED_1981,ECON_ACTIVE_1981
03BNBH23,03BNBH,1981,,,,0,0,0,0.0,167,108,1,83,2,8,5,4,64.67065868263474,0.5988023952095808,49.70059880239521,1.1976047904191616,4.790419161676646,2.9940119760479043,2.395209580838323,,,
03BNBH24,03BNBH,1981,,,,0,0,0,0.0,188,175,0,82,3,14,0,0,93.08510638297872,0.0,43.61702127659574,1.5957446808510638,7.446808510638298,0.0,0.0,,,
03BNBH25,03BNBH,1981,,,,3,2,1,0.0,189,137,0,76,2,9,0,0,72.48677248677248,0.0,40.21164021164021,1.0582010582010581,4.761904761904762,0.0,0.0,,,
03BNBH26,03BNBH,1981,,,,7,4,3,0.0,194,163,0,85,2,7,0,0,84.02061855670104,0.0,43.81443298969072,1.0309278350515463,3.6082474226804124,0.0,0.0,,,
03BNBH27,03BNBH,1981,,,,2,2,0,0.0,204,46,0,125,8,10,0,2,22.54901960784314,0.0,61.27450980392157,3.9215686274509802,4.901960784313726,0.0,0.9803921568627451,,,
03BNBH28,03BNBH,1981,,,,4,1,3,0.0,201,46,0,118,4,26,0,0,22.885572139303484,0.0,58.70646766169154,1.9900497512437811,12.935323383084578,0.0,0.0,,,
03BNBH29,03BNBH,1981,,,,0,0,0,0.0,198,33,0,147,2,21,0,0,16.666666666666668,0.0,74.24242424242425,1.0101010101010102,10.606060606060606,0.0,0.0,,,
03BNBH30,03BNBH,1981,,,,0,0,0,0.0,220,10,0,161,5,21,0,0,4.545454545454546,0.0,73.18181818181819,2.272727272727273,9.545454545454545,0.0,0.0,,,
03BNBH31,03BNBH,1981,,,,0,0,0,0.0,204,26,0,147,6,22,0,0,12.745098039215685,0.0,72.05882352941177,2.9411764705882355,10.784313725490197,0.0,0.0,,,
03BNBH32,03BNBH,1981,,,,1,1,0,0.0,0,0,0,0,0,0,0,0,,,,,,,,,,
03BNBH33,03BNBH,1981,,,,2,2,0,0.0,0,0,0,0,0,0,0,0,,,,,,,,,,
03BNBH34,03BNBH,1981,,,,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,,,,
03BNBH35,03BNBH,1981,,,,2,0,2,0.0,0,0,0,0,0,0,0,0,,,,,,,,,,
03BNBJ01,03BNBJ,1981,,,,4,2,2,0.0,135,44,0,78,6,1,1,1,32.592592592592595,0.0,57.77777777777778,4.444444444444445,0.7407407407407407,0.7407407407407407,0.7407407407407407,,,
03BNBJ02,03BNBJ,1981,,,,3,1,2,0.0,226,111,0,109,8,7,4,6,49.11504424778761,0.0,48.230088495575224,3.5398230088495577,3.0973451327433628,1.7699115044247788,2.6548672566371683,,,
03BNBJ03,03BNBJ,1981,,,,1,1,0,0.0,120,32,0,74,5,3,0,0,26.666666666666668,0.0,61.666666666666664,4.166666666666667,2.5,0.0,0.0,,,
03BNBJ04,03BNBJ,1981,,,,5,4,1,0.0,126,52,0,61,5,4,0,0,41.26984126984127,0.0,48.41269841269841,3.9682539682539684,3.1746031746031744,0.0,0.0,,,
03BNBJ05,03BNBJ,1981,,,,1,1,0,0.0,122,33,2,70,0,2,4,2,27.049180327868854,1.639344262295082,57.377049180327866,0.0,1.639344262295082,3.278688524590164,1.639344262295082,,,
03BNBJ06,03BNBJ,1981,,,,7,5,2,0.0,147,47,0,79,6,0,0,0,31.972789115646258,0.0,53.74149659863946,4.081632653061225,0.0,0.0,0.0,,,
03BNBJ07,03BNBJ,1981,,,,15,9,6,0.0,171,44,0,114,6,3,0,0,25.730994152046783,0.0,66.66666666666667,3.508771929824561,1.7543859649122806,0.0,0.0,,,
03BNBJ08,03BNBJ,1981,,,,0,0,0,0.0,86,38,0,38,1,0,0,0,44.18604651162791,0.0,44.18604651162791,1.1627906976744187,0.0,0.0,0.0,,,
03BNBJ09,03BNBJ,1981,,,,0,0,0,0.0,163,111,0,68,1,5,0,0,68.09815950920246,0.0,41.717791411042946,0.6134969325153374,3.067484662576687,0.0,0.0,,,
03BNBJ10,03BNBJ,1981,,,,0,0,0,0.0,183,164,0,56,0,5,0,0,89.61748633879782,0.0,30.601092896174862,0.0,2.73224043715847,0.0,0.0,,,
03BNBJ11,03BNBJ,1981,,,,1,1,0,0.0,114,33,0,57,2,2,0,0,28.94736842105263,0.0,50.0,1.7543859649122806,1.7543859649122806,0.0,0.0,,,
03BNBJ12,03BNBJ,1981,,,,0,0,0,0.0,166,109,0,73,0,6,0,0,65.66265060240964,0.0,43.975903614457835,0.0,3.6144578313253013,0.0,0.0,,,
